	Data Name	L*(D50)	a*(D50)	b*(D50)	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
     8 	[Retrieved Data]1008 (5/16/2024 10:59:31 PM)	34.74	9.40	10.26	5.39	5.39	5.39	5.39	5.39	5.39	5.60	5.75	5.57	5.41	5.40	5.44	5.78	6.70	7.97	8.45	8.49	8.37	7.84	7.15	6.77	6.74	6.91	7.31	8.07	9.42	11.42	14.16	17.54	20.69	23.69	26.67	29.86	33.73	38.57	38.57	38.57	38.57	38.57
     8 	[Retrieved Data]1008 (5/16/2024 10:59:31 PM)	28.02	12.01	13.53	2.85	2.85	2.85	2.85	2.85	2.83	3.02	3.15	2.91	2.71	2.66	2.66	2.95	3.86	5.11	5.60	5.61	5.51	4.98	4.29	3.89	3.82	3.99	4.39	5.11	6.45	8.38	11.13	14.47	17.60	20.58	23.54	26.73	30.56	35.38	35.38	35.38	35.38	35.38
     9 	[Retrieved Data]1009 (5/16/2024 10:59:31 PM)	28.24	1.84	5.25	4.45	4.45	4.45	4.45	4.45	4.39	4.43	4.41	4.31	4.22	4.26	4.32	4.54	5.10	5.92	6.31	6.34	6.21	5.78	5.22	4.83	4.62	4.50	4.51	4.70	5.16	5.90	7.14	8.83	10.68	12.76	15.36	18.51	22.47	27.60	27.60	27.60	27.60	27.60
     9 	[Retrieved Data]1009 (5/16/2024 10:59:31 PM)	18.68	2.82	7.56	1.94	1.94	1.94	1.94	1.94	1.86	1.86	1.84	1.68	1.55	1.55	1.56	1.73	2.27	3.08	3.48	3.49	3.36	2.93	2.37	1.97	1.73	1.62	1.62	1.79	2.22	2.97	4.18	5.82	7.64	9.72	12.29	15.42	19.34	24.44	24.44	24.44	24.44	24.44
    10 	[Retrieved Data]1010 (5/16/2024 10:59:31 PM)	25.04	0.32	3.48	4.00	4.00	4.00	4.00	4.00	3.88	3.83	3.76	3.69	3.65	3.69	3.72	3.85	4.13	4.57	4.82	4.88	4.83	4.62	4.33	4.12	4.00	3.92	3.89	3.93	4.10	4.41	4.85	5.52	6.38	7.72	10.08	13.60	18.51	25.13	25.13	25.13	25.13	25.13
    10 	[Retrieved Data]1010 (5/16/2024 10:59:31 PM)	13.16	0.48	5.59	1.49	1.49	1.49	1.49	1.49	1.35	1.27	1.19	1.06	0.97	0.98	0.98	1.07	1.34	1.75	2.02	2.06	2.01	1.80	1.51	1.30	1.16	1.07	1.02	1.07	1.23	1.51	1.95	2.57	3.43	4.73	7.04	10.55	15.39	21.99	21.99	21.99	21.99	21.99
    11 	[Retrieved Data]1011 (5/16/2024 10:59:31 PM)	94.53	1.94	6.19	14.57	14.57	14.57	14.57	14.57	27.01	56.42	79.21	85.85	83.08	77.92	77.64	77.11	76.96	79.87	83.33	85.13	85.54	85.68	85.65	85.86	86.67	87.79	88.96	89.94	90.61	91.03	91.49	91.73	92.03	92.21	92.36	92.51	92.71	92.70	92.70	92.70	92.70	92.70
    11 	[Retrieved Data]1011 (5/16/2024 10:59:31 PM)	93.13	2.03	5.73	11.83	11.83	11.83	11.83	11.83	24.25	53.71	76.99	83.98	80.91	75.34	75.01	74.32	74.07	76.87	80.29	81.97	82.33	82.44	82.37	82.61	83.46	84.54	85.63	86.55	87.19	87.60	88.01	88.24	88.52	88.70	88.90	89.05	89.23	89.21	89.21	89.21	89.21	89.21
    12 	[Retrieved Data]1012 (5/16/2024 10:59:31 PM)	93.58	2.23	8.05	14.27	14.27	14.27	14.27	14.27	25.92	53.50	74.76	80.81	78.11	73.30	73.18	72.90	73.26	76.75	80.62	82.67	83.19	83.31	83.24	83.51	84.47	85.78	87.16	88.35	89.16	89.78	90.38	90.78	91.20	91.54	91.78	92.02	92.28	92.37	92.37	92.37	92.37	92.37
    12 	[Retrieved Data]1012 (5/16/2024 10:59:31 PM)	92.12	2.33	7.67	11.47	11.47	11.47	11.47	11.47	23.07	50.69	72.41	78.76	75.77	70.59	70.38	69.97	70.23	73.64	77.48	79.42	79.89	79.95	79.87	80.17	81.15	82.44	83.74	84.84	85.64	86.25	86.82	87.23	87.67	88.01	88.26	88.52	88.74	88.83	88.83	88.83	88.83	88.83
    13 	[Retrieved Data]1013 (5/16/2024 10:59:31 PM)	93.89	1.51	13.28	13.45	13.45	13.45	13.45	13.45	24.20	49.42	68.52	73.85	71.37	67.17	67.44	67.91	69.32	74.27	79.77	82.97	84.01	84.34	84.48	84.90	86.00	87.38	88.79	89.92	90.62	91.10	91.52	91.76	92.06	92.28	92.42	92.58	92.77	92.77	92.77	92.77	92.77	92.77
    13 	[Retrieved Data]1013 (5/16/2024 10:59:31 PM)	92.42	1.59	13.05	10.71	10.71	10.71	10.71	10.71	21.39	46.63	66.10	71.69	68.97	64.41	64.59	64.92	66.24	71.10	76.55	79.67	80.67	80.96	81.08	81.53	82.64	84.00	85.35	86.39	87.10	87.54	87.91	88.16	88.47	88.70	88.84	89.05	89.21	89.20	89.20	89.20	89.20	89.20
    14 	[Retrieved Data]1014 (5/16/2024 10:59:31 PM)	88.22	1.24	17.82	12.07	12.07	12.07	12.07	12.07	19.93	38.65	52.54	56.12	54.32	51.37	51.91	53.15	56.13	62.45	68.31	71.50	72.63	72.60	71.96	71.76	72.41	73.43	74.79	76.27	77.85	79.51	81.37	83.05	84.36	85.40	86.25	87.14	88.08	88.88	88.88	88.88	88.88	88.88
    14 	[Retrieved Data]1014 (5/16/2024 10:59:31 PM)	86.51	1.30	17.86	9.25	9.25	9.25	9.25	9.25	17.05	35.74	49.87	53.59	51.61	48.38	48.85	50.02	52.92	59.13	64.94	68.08	69.16	69.07	68.40	68.25	68.90	69.91	71.17	72.60	74.15	75.81	77.65	79.32	80.63	81.69	82.58	83.46	84.38	85.19	85.19	85.19	85.19	85.19
    15 	[Retrieved Data]1015 (5/16/2024 10:59:31 PM)	78.92	4.64	20.73	10.04	10.04	10.04	10.04	10.04	14.81	26.82	35.88	37.92	36.79	34.85	35.34	36.81	40.30	46.40	50.85	52.98	53.92	53.62	52.56	52.39	53.40	54.95	56.90	59.14	61.77	64.74	68.10	71.28	73.82	75.83	77.60	79.30	81.19	83.06	83.06	83.06	83.06	83.06
    15 	[Retrieved Data]1015 (5/16/2024 10:59:31 PM)	76.82	4.86	21.20	7.14	7.14	7.14	7.14	7.14	11.87	23.85	33.02	35.12	33.87	31.76	32.20	33.58	37.00	43.03	47.43	49.47	50.38	50.08	49.01	48.83	49.84	51.38	53.31	55.48	58.07	61.04	64.35	67.53	70.07	72.09	73.83	75.54	77.44	79.29	79.29	79.29	79.29	79.29
    16 	[Retrieved Data]1016 (5/16/2024 10:59:31 PM)	58.52	8.98	21.40	8.06	8.06	8.06	8.06	8.06	8.76	11.71	14.53	14.94	14.75	14.31	14.70	15.93	18.77	22.94	24.81	25.30	25.62	24.96	23.83	23.61	24.20	25.02	26.30	28.32	31.36	35.30	40.06	45.04	49.16	52.68	55.90	59.12	62.73	66.72	66.72	66.72	66.72	66.72
    16 	[Retrieved Data]1016 (5/16/2024 10:59:31 PM)	54.80	9.91	23.52	5.02	5.02	5.02	5.02	5.02	5.68	8.55	11.35	11.71	11.43	10.89	11.22	12.37	15.17	19.27	21.12	21.56	21.86	21.22	20.08	19.85	20.41	21.26	22.51	24.48	27.50	31.41	36.15	41.09	45.16	48.71	51.90	55.14	58.71	62.70	62.70	62.70	62.70	62.70
    17 	[Retrieved Data]1017 (5/16/2024 10:59:31 PM)	46.55	10.88	16.31	8.18	8.18	8.18	8.18	8.18	8.09	8.68	9.28	9.14	8.95	8.95	9.14	9.86	11.61	14.00	14.89	15.02	15.06	14.43	13.51	13.21	13.45	13.98	14.86	16.34	18.72	21.95	26.10	30.68	34.68	38.27	41.73	45.23	49.28	54.03	54.03	54.03	54.03	54.03
    17 	[Retrieved Data]1017 (5/16/2024 10:59:31 PM)	41.16	12.76	18.89	5.32	5.32	5.32	5.32	5.32	5.18	5.68	6.23	6.00	5.75	5.65	5.77	6.40	8.10	10.46	11.32	11.38	11.41	10.76	9.83	9.49	9.73	10.24	11.08	12.52	14.87	18.06	22.17	26.74	30.68	34.27	37.68	41.21	45.22	49.93	49.93	49.93	49.93	49.93
    18 	[Retrieved Data]1018 (5/16/2024 10:59:31 PM)	38.75	7.55	10.00	7.39	7.39	7.39	7.39	7.39	7.19	7.25	7.34	7.13	7.02	7.07	7.22	7.70	8.92	10.56	11.07	10.97	10.80	10.16	9.23	8.68	8.59	8.73	9.14	9.96	11.44	13.61	16.63	20.27	23.63	26.80	29.97	33.34	37.41	42.42	42.42	42.42	42.42	42.42
    18 	[Retrieved Data]1018 (5/16/2024 10:59:31 PM)	31.65	9.67	11.79	4.62	4.62	4.62	4.62	4.62	4.35	4.39	4.43	4.11	3.89	3.87	3.96	4.35	5.52	7.11	7.60	7.46	7.27	6.59	5.68	5.11	5.00	5.11	5.50	6.29	7.72	9.85	12.83	16.43	19.77	22.90	26.03	29.41	33.44	38.39	38.39	38.39	38.39	38.39
    19 	[Retrieved Data]1019 (5/16/2024 10:59:31 PM)	32.45	0.10	4.48	6.57	6.57	6.57	6.57	6.57	6.33	6.21	6.08	5.89	5.79	5.87	5.97	6.30	7.08	8.18	8.61	8.54	8.31	7.74	6.99	6.41	6.08	5.88	5.88	6.09	6.60	7.46	8.77	10.59	12.56	14.86	17.72	21.22	25.55	30.99	30.99	30.99	30.99	30.99
    19 	[Retrieved Data]1019 (5/16/2024 10:59:31 PM)	22.88	-0.01	4.57	3.85	3.85	3.85	3.85	3.85	3.56	3.35	3.17	2.90	2.72	2.70	2.74	2.99	3.71	4.76	5.17	5.07	4.83	4.25	3.50	2.91	2.56	2.37	2.33	2.49	2.95	3.78	5.07	6.84	8.78	11.05	13.88	17.35	21.64	27.03	27.03	27.03	27.03	27.03
    20 	[Retrieved Data]1020 (5/16/2024 10:59:31 PM)	28.79	-0.36	2.79	5.70	5.70	5.70	5.70	5.70	5.45	5.28	5.13	4.99	4.94	4.99	5.04	5.21	5.58	6.15	6.43	6.44	6.34	6.05	5.67	5.35	5.17	5.06	5.03	5.10	5.29	5.65	6.13	6.85	7.81	9.38	12.13	16.26	21.81	29.03	29.03	29.03	29.03	29.03
    20 	[Retrieved Data]1020 (5/16/2024 10:59:31 PM)	16.69	-1.01	2.17	2.93	2.93	2.93	2.93	2.93	2.61	2.39	2.18	1.96	1.82	1.79	1.76	1.87	2.18	2.71	2.98	2.96	2.87	2.57	2.18	1.87	1.67	1.55	1.46	1.49	1.65	1.96	2.43	3.11	4.05	5.57	8.28	12.37	17.86	25.01	25.01	25.01	25.01	25.01
    21 	[Retrieved Data]1021 (5/16/2024 10:59:31 PM)	94.52	1.99	6.13	14.51	14.51	14.51	14.51	14.51	27.08	56.57	79.33	85.95	83.11	77.99	77.75	77.16	76.98	79.89	83.32	85.11	85.49	85.63	85.61	85.81	86.64	87.78	88.97	89.98	90.63	91.06	91.48	91.75	92.03	92.23	92.38	92.54	92.72	92.71	92.71	92.71	92.71	92.71
