	Data Name	L*(D50)	a*(D50)	b*(D50)	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
8 	[Retrieved Data]688 (5/14/2024 2:02:40 PM)	92.70	2.39	7.60	12.30	12.30	12.30	12.30	12.30	24.27	52.34	73.87	80.23	77.18	71.69	71.51	71.13	71.30	74.67	78.55	80.56	81.06	81.21	81.19	81.53	82.55	83.90	85.29	86.36	87.12	87.63	88.04	88.31	88.61	88.75	88.88	89.05	89.19	89.20	89.20	89.20	89.20	89.20
9 	[Retrieved Data]689 (5/14/2024 2:02:40 PM)	88.10	-0.78	2.78	13.88	13.88	13.88	13.88	13.88	23.98	49.36	69.86	75.74	73.44	68.33	68.00	67.72	67.92	70.92	73.99	75.32	75.24	74.37	72.78	71.13	69.94	69.24	69.29	70.07	71.46	73.36	75.63	77.86	79.72	81.13	82.36	83.60	84.99	86.29	86.29	86.29	86.29	86.29
9 	[Retrieved Data]689 (5/14/2024 2:02:40 PM)	86.49	-0.74	2.27	11.02	11.02	11.02	11.02	11.02	21.14	46.56	67.39	73.57	71.07	65.59	65.23	64.79	64.88	67.82	70.85	72.06	71.92	71.04	69.43	67.82	66.62	65.94	65.95	66.64	68.01	69.89	72.11	74.39	76.21	77.62	78.84	80.12	81.48	82.78	82.78	82.78	82.78	82.78
10 	[Retrieved Data]690 (5/14/2024 2:02:40 PM)	88.43	1.52	3.16	13.71	13.71	13.71	13.71	13.71	24.03	49.79	70.46	76.31	73.84	68.60	68.13	67.59	67.62	70.29	72.95	74.04	74.05	73.49	72.28	71.30	71.01	71.26	72.06	73.22	74.67	76.41	78.44	80.37	81.92	83.15	84.19	85.26	86.42	87.47	87.47	87.47	87.47	87.47
10 	[Retrieved Data]690 (5/14/2024 2:02:40 PM)	86.85	1.62	2.66	10.89	10.89	10.89	10.89	10.89	21.19	47.02	68.06	74.22	71.52	65.87	65.38	64.72	64.61	67.22	69.83	70.86	70.81	70.19	68.97	68.02	67.77	67.98	68.74	69.83	71.26	72.97	74.98	76.91	78.50	79.67	80.72	81.81	82.93	83.99	83.99	83.99	83.99	83.99
11 	[Retrieved Data]691 (5/14/2024 2:02:40 PM)	91.65	2.79	4.36	14.29	14.29	14.29	14.29	14.29	25.88	53.88	75.80	82.09	79.28	73.91	73.48	72.75	72.55	75.16	77.87	79.03	79.19	79.04	78.53	78.38	79.03	80.13	81.52	82.81	83.96	85.01	86.14	87.11	87.95	88.54	89.03	89.60	90.12	90.55	90.55	90.55	90.55	90.55
11 	[Retrieved Data]691 (5/14/2024 2:02:40 PM)	90.19	2.94	3.87	11.53	11.53	11.53	11.53	11.53	23.10	51.16	73.56	80.16	77.09	71.28	70.77	70.01	69.61	72.13	74.80	75.91	75.98	75.78	75.24	75.15	75.79	76.91	78.25	79.46	80.59	81.64	82.74	83.73	84.56	85.15	85.64	86.20	86.74	87.17	87.17	87.17	87.17	87.17
12 	[Retrieved Data]692 (5/14/2024 2:02:40 PM)	93.84	-1.58	5.77	14.32	14.32	14.32	14.32	14.32	26.43	55.27	77.70	84.33	81.69	76.67	76.79	76.69	77.11	80.79	84.87	86.88	87.05	86.76	86.07	85.11	84.31	83.78	83.72	84.06	84.67	85.45	86.43	87.34	88.13	88.70	89.19	89.73	90.26	90.68	90.68	90.68	90.68	90.68
12 	[Retrieved Data]692 (5/14/2024 2:02:40 PM)	92.46	-1.57	5.32	11.59	11.59	11.59	11.59	11.59	23.68	52.61	75.51	82.49	79.57	74.09	74.17	73.95	74.22	77.81	81.87	83.82	83.91	83.58	82.86	81.94	81.14	80.58	80.49	80.74	81.33	82.11	83.05	83.97	84.76	85.33	85.81	86.36	86.90	87.32	87.32	87.32	87.32	87.32
13 	[Retrieved Data]693 (5/14/2024 2:02:40 PM)	89.05	3.42	7.53	13.42	13.42	13.42	13.42	13.42	23.25	47.48	66.44	71.66	69.26	64.51	64.25	64.04	64.73	68.20	71.46	72.98	73.37	73.21	72.52	72.37	73.22	74.60	76.29	77.92	79.43	80.91	82.53	83.99	85.18	86.05	86.80	87.60	88.43	89.16	89.16	89.16	89.16	89.16
13 	[Retrieved Data]693 (5/14/2024 2:02:40 PM)	87.48	3.59	7.16	10.62	10.62	10.62	10.62	10.62	20.44	44.73	64.02	69.52	66.91	61.79	61.48	61.18	61.73	65.12	68.33	69.77	70.11	69.91	69.20	69.08	69.93	71.32	72.96	74.52	76.02	77.53	79.09	80.56	81.76	82.62	83.36	84.17	84.99	85.72	85.72	85.72	85.72	85.72
14 	[Retrieved Data]694 (5/14/2024 2:02:40 PM)	91.02	-0.57	8.02	13.36	13.36	13.36	13.36	13.36	23.88	49.31	69.06	74.68	72.32	67.72	67.85	68.05	69.11	73.34	77.72	79.89	80.25	79.93	79.01	78.08	77.62	77.55	77.99	78.76	79.80	81.06	82.55	83.99	85.13	86.01	86.75	87.56	88.41	89.14	89.14	89.14	89.14	89.14
14 	[Retrieved Data]694 (5/14/2024 2:02:40 PM)	89.54	-0.53	7.67	10.60	10.60	10.60	10.60	10.60	21.11	46.61	66.72	72.62	70.06	65.04	65.13	65.23	66.15	70.35	74.68	76.77	77.08	76.67	75.74	74.88	74.41	74.31	74.70	75.40	76.44	77.71	79.19	80.58	81.77	82.64	83.40	84.22	85.03	85.74	85.74	85.74	85.74	85.74
15 	[Retrieved Data]695 (5/14/2024 2:02:40 PM)	94.59	1.06	8.55	14.41	14.41	14.41	14.41	14.41	26.33	54.46	76.05	82.30	79.62	74.65	74.75	74.64	75.20	79.01	83.30	85.60	86.18	86.38	86.34	86.45	87.07	87.97	88.99	89.89	90.50	90.92	91.32	91.57	91.89	92.04	92.14	92.33	92.49	92.49	92.49	92.49	92.49	92.49
15 	[Retrieved Data]695 (5/14/2024 2:02:40 PM)	93.23	1.15	8.15	11.70	11.70	11.70	11.70	11.70	23.61	51.85	73.90	80.46	77.51	72.12	72.17	71.94	72.33	76.05	80.30	82.54	83.06	83.18	83.12	83.26	83.92	84.79	85.76	86.55	87.20	87.59	87.98	88.22	88.57	88.67	88.82	89.02	89.15	89.16	89.16	89.16	89.16	89.16
16 	[Retrieved Data]696 (5/14/2024 2:02:40 PM)	89.24	4.76	1.24	14.74	14.74	14.74	14.74	14.74	26.03	53.69	75.36	81.44	78.67	72.87	71.97	70.63	69.75	71.34	72.90	73.36	73.33	73.03	72.29	72.10	72.97	74.43	76.21	77.89	79.45	80.94	82.54	84.00	85.19	86.06	86.79	87.59	88.42	89.13	89.13	89.13	89.13	89.13
16 	[Retrieved Data]696 (5/14/2024 2:02:40 PM)	87.70	4.98	0.65	11.97	11.97	11.97	11.97	11.97	23.24	50.98	73.08	79.48	76.49	70.24	69.32	67.82	66.81	68.31	69.84	70.21	70.13	69.76	68.99	68.86	69.74	71.18	72.92	74.52	76.06	77.59	79.11	80.62	81.80	82.66	83.39	84.21	85.00	85.73	85.73	85.73	85.73	85.73
17 	[Retrieved Data]697 (5/14/2024 2:02:40 PM)	90.47	-0.94	2.12	14.58	14.58	14.58	14.58	14.58	25.90	53.63	75.60	82.03	79.48	74.18	73.90	73.30	73.18	75.96	78.94	80.19	80.06	79.34	77.99	76.47	75.33	74.62	74.62	75.23	76.37	77.84	79.67	81.45	82.87	83.98	84.92	85.92	87.01	87.97	87.97	87.97	87.97	87.97
17 	[Retrieved Data]697 (5/14/2024 2:02:40 PM)	88.95	-0.90	1.59	11.75	11.75	11.75	11.75	11.75	23.07	50.88	73.30	80.06	77.25	71.48	71.12	70.50	70.19	72.90	75.85	77.03	76.83	76.05	74.68	73.22	72.08	71.36	71.32	71.86	72.98	74.44	76.21	77.97	79.46	80.51	81.47	82.47	83.57	84.52	84.52	84.52	84.52	84.52
18 	[Retrieved Data]698 (5/14/2024 2:02:40 PM)	91.01	0.89	2.95	14.44	14.44	14.44	14.44	14.44	25.88	53.82	75.95	82.33	79.69	74.33	73.94	73.26	73.10	75.74	78.47	79.58	79.56	79.11	78.16	77.29	77.01	77.15	77.78	78.73	79.84	81.17	82.66	84.09	85.23	86.10	86.84	87.63	88.48	89.18	89.18	89.18	89.18	89.18
18 	[Retrieved Data]698 (5/14/2024 2:02:40 PM)	89.52	0.98	2.43	11.66	11.66	11.66	11.66	11.66	23.09	51.09	73.66	80.37	77.51	71.70	71.31	70.48	70.15	72.74	75.45	76.46	76.35	75.85	74.89	74.05	73.77	73.92	74.52	75.37	76.51	77.79	79.26	80.67	81.84	82.70	83.45	84.26	85.07	85.81	85.81	85.81	85.81	85.81
19 	[Retrieved Data]699 (5/14/2024 2:02:40 PM)	94.57	2.22	4.16	14.83	14.83	14.83	14.83	14.83	27.66	58.31	82.26	89.25	86.26	80.66	80.35	79.58	79.09	81.53	84.24	85.42	85.53	85.56	85.45	85.62	86.39	87.48	88.74	89.77	90.45	90.91	91.33	91.62	91.93	92.06	92.18	92.39	92.54	92.55	92.55	92.55	92.55	92.55
