528 	[Retrieved Data]2138 (5/14/2024 8:44:12 AM)	90.18	1.68	8.77	10.71	10.71	10.71	10.71	10.71	21.46	47.02	66.94	72.68	69.99	65.18	65.13	65.01	65.82	69.79	73.94	76.03	76.51	76.47	76.00	75.78	76.28	77.21	78.39	79.54	80.64	81.70	82.79	83.75	84.57	85.19	85.73	86.28	86.82	87.26	87.26	87.26	87.26	87.26
529 	[Retrieved Data]2139 (5/14/2024 8:44:12 AM)	94.06	2.12	8.50	14.45	14.45	14.45	14.45	14.45	26.36	54.03	75.06	81.11	78.47	73.74	73.68	73.46	73.96	77.60	81.57	83.65	84.22	84.46	84.43	84.68	85.67	87.02	88.46	89.68	90.47	90.95	91.44	91.72	91.97	92.13	92.26	92.44	92.56	92.56	92.56	92.56	92.56	92.56
529 	[Retrieved Data]2139 (5/14/2024 8:44:12 AM)	92.68	2.24	8.16	11.76	11.76	11.76	11.76	11.76	23.64	51.36	72.76	79.12	76.28	71.14	71.08	70.64	71.05	74.63	78.58	80.53	81.03	81.24	81.23	81.52	82.49	83.83	85.25	86.39	87.16	87.65	88.07	88.33	88.62	88.77	88.94	89.10	89.21	89.19	89.19	89.19	89.19	89.19
530 	[Retrieved Data]2140 (5/14/2024 8:44:12 AM)	88.12	-0.90	2.93	13.50	13.50	13.50	13.50	13.50	23.75	49.08	69.49	75.33	73.12	68.37	68.10	67.69	68.02	71.10	74.14	75.35	75.30	74.51	72.88	71.15	69.91	69.21	69.26	70.05	71.47	73.32	75.67	77.93	79.72	81.16	82.39	83.65	85.06	86.35	86.35	86.35	86.35	86.35
530 	[Retrieved Data]2140 (5/14/2024 8:44:12 AM)	86.50	-0.86	2.46	10.66	10.66	10.66	10.66	10.66	20.86	46.20	66.97	73.10	70.72	65.54	65.25	64.74	64.94	67.95	70.98	72.11	71.96	71.12	69.52	67.81	66.60	65.88	65.90	66.60	68.01	69.87	72.18	74.40	76.20	77.64	78.92	80.16	81.53	82.85	82.85	82.85	82.85	82.85
531 	[Retrieved Data]2141 (5/14/2024 8:44:12 AM)	88.46	1.43	3.49	13.21	13.21	13.21	13.21	13.21	23.72	49.47	69.93	75.70	73.30	68.43	68.02	67.38	67.56	70.37	73.06	74.08	74.14	73.63	72.41	71.35	71.04	71.31	72.10	73.30	74.81	76.54	78.60	80.52	82.05	83.28	84.31	85.37	86.51	87.58	87.58	87.58	87.58	87.58
531 	[Retrieved Data]2141 (5/14/2024 8:44:12 AM)	86.87	1.53	3.03	10.42	10.42	10.42	10.42	10.42	20.89	46.65	67.49	73.54	70.90	65.65	65.20	64.48	64.51	67.27	69.92	70.87	70.85	70.28	69.05	68.05	67.75	68.01	68.76	69.89	71.36	73.12	75.12	77.05	78.59	79.80	80.89	81.91	83.05	84.14	84.14	84.14	84.14	84.14
532 	[Retrieved Data]2142 (5/14/2024 8:44:12 AM)	91.68	2.69	4.55	13.95	13.95	13.95	13.95	13.95	25.66	53.59	75.44	81.67	78.96	73.86	73.44	72.72	72.61	75.26	77.96	79.09	79.29	79.18	78.65	78.42	79.03	80.13	81.50	82.85	84.01	85.08	86.22	87.18	87.97	88.57	89.08	89.62	90.16	90.59	90.59	90.59	90.59	90.59
532 	[Retrieved Data]2142 (5/14/2024 8:44:12 AM)	90.21	2.83	4.08	11.21	11.21	11.21	11.21	11.21	22.88	50.85	73.15	79.68	76.73	71.22	70.77	69.92	69.66	72.21	74.89	75.97	76.04	75.89	75.38	75.18	75.80	76.91	78.22	79.48	80.63	81.69	82.83	83.78	84.57	85.20	85.70	86.24	86.79	87.20	87.20	87.20	87.20	87.20
533 	[Retrieved Data]2143 (5/14/2024 8:44:12 AM)	93.91	-1.64	5.85	14.08	14.08	14.08	14.08	14.08	26.21	55.01	77.60	84.20	81.67	76.84	76.95	76.91	77.39	81.02	85.05	87.03	87.24	86.96	86.24	85.25	84.46	83.91	83.85	84.20	84.82	85.60	86.60	87.48	88.24	88.81	89.31	89.84	90.39	90.80	90.80	90.80	90.80	90.80
