	Data Name	Target No.	CMC(l:c)(D50)	Judgement	Pseudo Color(D50)	L*(D50)	a*(D50)	b*(D50)	dL*(D50)	da*(D50)	db*(D50)	dE*ab(D50)
    96 	[Retrieved Data]96 (5/13/2024 9:20:54 PM)	3	30.06	------		79.50	3.92	18.83	-15.77	2.17	22.60	27.65
    96 	[Retrieved Data]96 (5/13/2024 9:20:54 PM)	3	32.00	------		77.00	4.40	19.80	-16.71	2.79	23.98	29.36
    97 	[Retrieved Data]97 (5/13/2024 9:20:54 PM)	3	46.45	------		46.45	10.87	21.05	-48.82	9.12	24.83	55.52
    97 	[Retrieved Data]97 (5/13/2024 9:20:54 PM)	3	47.15	------		45.67	11.10	21.68	-48.04	9.50	25.86	55.38
    98 	[Retrieved Data]98 (5/13/2024 9:20:54 PM)	3	46.37	------		46.23	10.79	20.83	-49.05	9.04	24.60	55.61
    98 	[Retrieved Data]98 (5/13/2024 9:20:54 PM)	3	47.17	------		45.65	11.09	21.70	-48.06	9.48	25.87	55.40
    99 	[Retrieved Data]99 (5/13/2024 9:20:54 PM)	3	46.43	------		46.46	10.88	21.03	-48.82	9.13	24.80	55.51
    99 	[Retrieved Data]99 (5/13/2024 9:20:54 PM)	3	47.18	------		45.65	11.10	21.70	-48.06	9.49	25.88	55.40
   100 	[Retrieved Data]100 (5/13/2024 9:20:54 PM)	3	3.56	------		94.34	1.58	-0.85	-0.94	-0.17	2.92	3.08
   100 	[Retrieved Data]100 (5/13/2024 9:20:54 PM)	3	3.58	------		92.55	1.58	-1.20	-1.16	-0.03	2.97	3.19
   101 	[Retrieved Data]101 (5/13/2024 9:20:54 PM)	3	6.83	------		92.80	3.64	0.89	-2.47	1.89	4.66	5.60
   101 	[Retrieved Data]101 (5/13/2024 9:20:54 PM)	3	7.20	------		90.93	3.76	0.60	-2.78	2.15	4.78	5.93
   102 	[Retrieved Data]102 (5/13/2024 9:20:54 PM)	3	14.88	------		93.16	1.09	7.61	-2.11	-0.66	11.38	11.59
   102 	[Retrieved Data]102 (5/13/2024 9:20:54 PM)	3	15.60	------		91.29	1.08	7.63	-2.42	-0.53	11.80	12.06
   103 	[Retrieved Data]103 (5/13/2024 9:20:54 PM)	3	21.34	------		89.00	0.80	12.70	-6.27	-0.95	16.47	17.65
   103 	[Retrieved Data]103 (5/13/2024 9:20:54 PM)	3	22.45	------		86.97	0.86	13.02	-6.74	-0.75	17.19	18.48
   104 	[Retrieved Data]104 (5/13/2024 9:20:54 PM)	3	29.09	------		78.58	2.40	17.75	-16.69	0.65	21.53	27.25
   104 	[Retrieved Data]104 (5/13/2024 9:20:54 PM)	3	30.97	------		76.02	2.56	18.68	-17.69	0.95	22.86	28.92
   105 	[Retrieved Data]105 (5/13/2024 9:20:54 PM)	3	40.65	------		58.84	5.49	22.17	-36.43	3.74	25.94	44.88
   105 	[Retrieved Data]105 (5/13/2024 9:20:54 PM)	3	45.19	------		54.73	6.67	25.27	-38.98	5.06	29.44	49.11
   106 	[Retrieved Data]106 (5/13/2024 9:20:54 PM)	3	39.47	------		48.32	8.65	13.19	-46.96	6.90	16.97	50.40
   106 	[Retrieved Data]106 (5/13/2024 9:20:54 PM)	3	44.73	------		42.60	10.87	16.08	-51.11	9.26	20.26	55.75
   107 	[Retrieved Data]107 (5/13/2024 9:20:54 PM)	3	41.66	------		39.77	6.94	8.40	-55.51	5.19	12.17	57.06
   107 	[Retrieved Data]107 (5/13/2024 9:20:54 PM)	3	48.15	------		31.96	10.46	11.34	-61.75	8.85	15.52	64.28
   108 	[Retrieved Data]108 (5/13/2024 9:20:54 PM)	3	43.53	------		33.26	-0.38	2.74	-62.01	-2.13	6.51	62.39
   108 	[Retrieved Data]108 (5/13/2024 9:20:54 PM)	3	50.30	------		22.64	1.63	3.97	-71.07	0.02	8.15	71.54
   109 	[Retrieved Data]109 (5/13/2024 9:20:54 PM)	3	45.26	------		30.04	-1.33	0.24	-65.24	-3.08	4.01	65.43
   109 	[Retrieved Data]109 (5/13/2024 9:20:54 PM)	3	53.30	------		16.99	-0.38	0.03	-76.72	-1.98	4.21	76.86
   110 	[Retrieved Data]110 (5/13/2024 9:20:54 PM)	3	3.69	------		93.86	0.74	-0.80	-1.42	-1.01	2.98	3.45
   110 	[Retrieved Data]110 (5/13/2024 9:20:54 PM)	3	3.96	------		92.03	0.82	-0.88	-1.68	-0.78	3.29	3.78
   111 	[Retrieved Data]111 (5/13/2024 9:20:54 PM)	3	6.65	------		93.10	0.96	1.27	-2.17	-0.79	5.04	5.54
   111 	[Retrieved Data]111 (5/13/2024 9:20:54 PM)	3	7.19	------		91.24	1.06	1.28	-2.47	-0.54	5.46	6.02
   112 	[Retrieved Data]112 (5/13/2024 9:20:54 PM)	3	12.32	------		93.51	-0.62	5.25	-1.77	-2.37	9.03	9.50
   112 	[Retrieved Data]112 (5/13/2024 9:20:54 PM)	3	13.13	------		91.65	-0.58	5.42	-2.06	-2.19	9.60	10.06
   113 	[Retrieved Data]113 (5/13/2024 9:20:54 PM)	3	20.58	------		90.21	1.49	12.21	-5.06	-0.26	15.98	16.77
   113 	[Retrieved Data]113 (5/13/2024 9:20:54 PM)	3	21.94	------		88.24	1.64	12.75	-5.47	0.03	16.93	17.79
   114 	[Retrieved Data]114 (5/13/2024 9:20:54 PM)	3	27.97	------		82.25	8.72	16.59	-13.03	6.97	20.36	25.15
   114 	[Retrieved Data]114 (5/13/2024 9:20:54 PM)	3	29.94	------		79.90	9.28	17.54	-13.81	7.67	21.71	26.85
   115 	[Retrieved Data]115 (5/13/2024 9:20:54 PM)	3	35.98	------		62.47	7.85	18.21	-32.81	6.10	21.99	39.96
   115 	[Retrieved Data]115 (5/13/2024 9:20:54 PM)	3	39.62	------		58.82	8.89	20.45	-34.89	7.28	24.63	43.32
   116 	[Retrieved Data]116 (5/13/2024 9:20:54 PM)	3	36.75	------		50.50	6.91	11.38	-44.77	5.16	15.16	47.55
   116 	[Retrieved Data]116 (5/13/2024 9:20:54 PM)	3	41.13	------		45.43	8.42	13.82	-48.28	6.81	17.99	51.98
   117 	[Retrieved Data]117 (5/13/2024 9:20:54 PM)	3	40.11	------		40.37	7.17	5.43	-54.90	5.42	9.20	55.93
   117 	[Retrieved Data]117 (5/13/2024 9:20:54 PM)	3	45.60	------		33.17	9.76	7.62	-60.54	8.15	11.80	62.22
   118 	[Retrieved Data]118 (5/13/2024 9:20:54 PM)	3	42.99	------		32.95	0.70	-0.51	-62.32	-1.05	3.27	62.41
   118 	[Retrieved Data]118 (5/13/2024 9:20:54 PM)	3	49.10	------		23.03	2.01	-0.27	-70.68	0.40	3.90	70.79
   119 	[Retrieved Data]119 (5/13/2024 9:20:54 PM)	3	45.35	------		29.47	-1.09	-3.26	-65.80	-2.84	0.51	65.86
   119 	[Retrieved Data]119 (5/13/2024 9:20:54 PM)	3	53.27	------		16.79	-0.79	-5.12	-76.92	-2.40	-0.95	76.96
   120 	[Retrieved Data]120 (5/13/2024 9:20:54 PM)	3	45.20	------		30.27	-1.27	0.86	-65.00	-3.02	4.63	65.24
   120 	[Retrieved Data]120 (5/13/2024 9:20:54 PM)	3	53.19	------		17.37	-0.13	0.97	-76.34	-1.74	5.14	76.53
   121 	[Retrieved Data]121 (5/13/2024 9:20:54 PM)	3	47.73	------		26.31	-2.50	-5.23	-68.96	-4.25	-1.46	69.11
   121 	[Retrieved Data]121 (5/13/2024 9:20:54 PM)	3	57.21	------		12.09	-3.94	-9.86	-81.62	-5.55	-5.68	82.00
   122 	[Retrieved Data]122 (5/13/2024 9:20:54 PM)	3	66.16	------		71.27	-30.13	40.12	-24.00	-31.88	43.89	59.32
   122 	[Retrieved Data]122 (5/13/2024 9:20:54 PM)	3	71.71	------		68.47	-32.46	44.66	-25.24	-34.07	48.84	64.68
   123 	[Retrieved Data]123 (5/13/2024 9:20:54 PM)	3	83.05	------		77.05	-38.44	53.81	-18.22	-40.19	57.58	72.55
   123 	[Retrieved Data]123 (5/13/2024 9:20:54 PM)	3	88.74	------		74.59	-40.41	59.11	-19.12	-42.01	63.29	78.33
   124 	[Retrieved Data]124 (5/13/2024 9:20:54 PM)	3	66.07	------		70.92	-30.12	39.95	-24.36	-31.87	43.73	59.34
   124 	[Retrieved Data]124 (5/13/2024 9:20:54 PM)	3	71.65	------		68.08	-32.47	44.51	-25.63	-34.08	48.69	64.72
   125 	[Retrieved Data]125 (5/13/2024 9:20:54 PM)	3	65.96	------		71.04	-29.97	39.98	-24.23	-31.72	43.75	59.22
   125 	[Retrieved Data]125 (5/13/2024 9:20:54 PM)	3	71.46	------		68.23	-32.27	44.46	-25.48	-33.88	48.64	64.52
   126 	[Retrieved Data]126 (5/13/2024 9:20:54 PM)	3	11.10	------		91.91	1.90	4.48	-3.37	0.15	8.26	8.92
   126 	[Retrieved Data]126 (5/13/2024 9:20:54 PM)	3	12.02	------		89.96	2.06	4.66	-3.75	0.45	8.83	9.61
   127 	[Retrieved Data]127 (5/13/2024 9:20:54 PM)	3	11.99	------		90.45	2.94	4.94	-4.83	1.19	8.71	10.03
   127 	[Retrieved Data]127 (5/13/2024 9:20:54 PM)	3	13.00	------		88.42	3.12	5.14	-5.29	1.51	9.31	10.81
   128 	[Retrieved Data]128 (5/13/2024 9:20:54 PM)	3	21.83	------		91.99	-0.53	13.24	-3.28	-2.28	17.01	17.47
   128 	[Retrieved Data]128 (5/13/2024 9:20:54 PM)	3	23.17	------		90.02	-0.49	13.81	-3.69	-2.10	17.98	18.48
   129 	[Retrieved Data]129 (5/13/2024 9:20:54 PM)	3	25.28	------		87.41	-0.10	15.87	-7.86	-1.85	19.64	21.24
   129 	[Retrieved Data]129 (5/13/2024 9:20:54 PM)	3	26.88	------		85.25	-0.01	16.65	-8.46	-1.62	20.83	22.54
   130 	[Retrieved Data]130 (5/13/2024 9:20:54 PM)	3	10.73	------		94.79	2.03	4.38	-0.48	0.28	8.15	8.17
   130 	[Retrieved Data]130 (5/13/2024 9:20:54 PM)	3	10.72	------		93.39	2.14	3.88	-0.32	0.53	8.05	8.08
   131 	[Retrieved Data]131 (5/13/2024 9:20:54 PM)	3	10.70	------		94.79	2.04	4.36	-0.48	0.29	8.13	8.15
   131 	[Retrieved Data]131 (5/13/2024 9:20:54 PM)	3	10.68	------		93.39	2.15	3.85	-0.32	0.54	8.02	8.05
   132 	[Retrieved Data]132 (5/13/2024 9:20:54 PM)	3	10.67	------		94.78	2.04	4.33	-0.49	0.29	8.11	8.13
   132 	[Retrieved Data]132 (5/13/2024 9:20:54 PM)	3	10.68	------		93.38	2.16	3.85	-0.33	0.55	8.02	8.05
   133 	[Retrieved Data]133 (5/13/2024 9:20:54 PM)	3	12.71	------		93.34	1.34	5.87	-1.94	-0.41	9.64	9.84
   133 	[Retrieved Data]133 (5/13/2024 9:20:54 PM)	3	12.76	------		91.90	1.43	5.40	-1.81	-0.18	9.58	9.75
   134 	[Retrieved Data]134 (5/13/2024 9:20:54 PM)	3	20.97	------		93.34	-1.38	12.41	-1.93	-3.13	16.18	16.59
   134 	[Retrieved Data]134 (5/13/2024 9:20:54 PM)	3	21.34	------		91.90	-1.37	12.17	-1.81	-2.98	16.35	16.72
   135 	[Retrieved Data]135 (5/13/2024 9:20:54 PM)	3	23.82	------		88.15	0.53	14.74	-7.13	-1.22	18.51	19.87
   135 	[Retrieved Data]135 (5/13/2024 9:20:54 PM)	3	24.39	------		86.51	0.59	14.66	-7.20	-1.01	18.83	20.19
   136 	[Retrieved Data]136 (5/13/2024 9:20:54 PM)	3	31.71	------		78.21	2.22	20.12	-17.06	0.47	23.90	29.37
   136 	[Retrieved Data]136 (5/13/2024 9:20:54 PM)	3	32.92	------		76.18	2.36	20.58	-17.53	0.76	24.76	30.34
   137 	[Retrieved Data]137 (5/13/2024 9:20:54 PM)	3	40.80	------		58.32	5.53	22.09	-36.95	3.78	25.86	45.26
   137 	[Retrieved Data]137 (5/13/2024 9:20:54 PM)	3	44.20	------		54.92	6.16	24.32	-38.79	4.55	28.49	48.34
   138 	[Retrieved Data]138 (5/13/2024 9:20:54 PM)	3	42.19	------		48.78	9.74	17.23	-46.49	7.99	21.01	51.64
   138 	[Retrieved Data]138 (5/13/2024 9:20:54 PM)	3	46.89	------		44.04	11.34	20.15	-49.67	9.73	24.33	56.16
   139 	[Retrieved Data]139 (5/13/2024 9:20:54 PM)	3	44.37	------		37.83	9.88	10.36	-57.45	8.13	14.13	59.71
   139 	[Retrieved Data]139 (5/13/2024 9:20:54 PM)	3	50.81	------		30.51	13.03	13.58	-63.20	11.42	17.76	66.64
   140 	[Retrieved Data]140 (5/13/2024 9:20:54 PM)	3	45.86	------		30.67	3.04	4.98	-64.60	1.29	8.76	65.20
   140 	[Retrieved Data]140 (5/13/2024 9:20:54 PM)	3	53.04	------		20.38	5.18	7.32	-73.33	3.57	11.49	74.32
   141 	[Retrieved Data]141 (5/13/2024 9:20:54 PM)	3	47.61	------		27.04	1.59	2.61	-68.24	-0.16	6.39	68.53
   141 	[Retrieved Data]141 (5/13/2024 9:20:54 PM)	3	56.19	------		13.79	3.51	3.34	-79.92	1.90	7.52	80.30
   142 	[Retrieved Data]142 (5/13/2024 9:20:54 PM)	3	12.31	------		90.72	1.07	5.27	-4.55	-0.68	9.05	10.15
   142 	[Retrieved Data]142 (5/13/2024 9:20:54 PM)	3	12.33	------		89.16	1.16	4.80	-4.55	-0.45	8.97	10.07
   143 	[Retrieved Data]143 (5/13/2024 9:20:54 PM)	3	12.99	------		91.35	1.17	5.92	-3.92	-0.58	9.69	10.47
   143 	[Retrieved Data]143 (5/13/2024 9:20:54 PM)	3	13.08	------		89.80	1.26	5.48	-3.91	-0.35	9.65	10.42
   144 	[Retrieved Data]144 (5/13/2024 9:20:54 PM)	3	12.79	------		91.45	1.14	5.76	-3.82	-0.61	9.53	10.29
   144 	[Retrieved Data]144 (5/13/2024 9:20:54 PM)	3	12.87	------		89.98	1.23	5.33	-3.73	-0.38	9.50	10.22
   145 	[Retrieved Data]145 (5/13/2024 9:20:54 PM)	3	13.02	------		91.37	1.13	5.94	-3.90	-0.62	9.72	10.49
   145 	[Retrieved Data]145 (5/13/2024 9:20:54 PM)	3	13.10	------		89.82	1.22	5.49	-3.89	-0.39	9.67	10.43
   146 	[Retrieved Data]146 (5/13/2024 9:20:54 PM)	3	10.19	------		93.63	-1.94	2.98	-1.64	-3.69	6.76	7.87
   146 	[Retrieved Data]146 (5/13/2024 9:20:54 PM)	3	9.99	------		92.24	-1.93	2.46	-1.47	-3.54	6.63	7.66
   147 	[Retrieved Data]147 (5/13/2024 9:20:54 PM)	3	13.72	------		94.53	0.67	6.68	-0.75	-1.08	10.45	10.53
   147 	[Retrieved Data]147 (5/13/2024 9:20:54 PM)	3	13.81	------		93.15	0.76	6.23	-0.56	-0.85	10.40	10.45
   148 	[Retrieved Data]148 (5/13/2024 9:20:54 PM)	3	10.73	------		94.59	2.11	4.37	-0.69	0.36	8.14	8.18
   148 	[Retrieved Data]148 (5/13/2024 9:20:54 PM)	3	10.71	------		93.24	2.22	3.86	-0.47	0.61	8.04	8.07
   149 	[Retrieved Data]149 (5/13/2024 9:20:54 PM)	3	13.52	------		94.53	1.78	6.58	-0.74	0.02	10.36	10.38
   149 	[Retrieved Data]149 (5/13/2024 9:20:54 PM)	3	13.63	------		93.16	1.88	6.14	-0.55	0.27	10.31	10.33
   150 	[Retrieved Data]150 (5/13/2024 9:20:54 PM)	3	13.00	------		91.40	1.15	5.93	-3.88	-0.60	9.70	10.46
   150 	[Retrieved Data]150 (5/13/2024 9:20:54 PM)	3	13.11	------		89.86	1.23	5.50	-3.85	-0.38	9.68	10.43
   151 	[Retrieved Data]151 (5/13/2024 9:20:54 PM)	3	34.99	------		78.10	4.58	23.06	-17.17	2.83	26.83	31.98
   151 	[Retrieved Data]151 (5/13/2024 9:20:54 PM)	3	36.35	------		76.06	4.82	23.67	-17.65	3.21	27.84	33.12
   152 	[Retrieved Data]152 (5/13/2024 9:20:54 PM)	3	5.53	------		99.41	-0.11	-0.03	4.14	-1.86	3.74	5.88
   152 	[Retrieved Data]152 (5/13/2024 9:20:54 PM)	3	5.79	------		97.31	-0.09	0.12	3.59	-1.70	4.29	5.85
   153 	[Retrieved Data]153 (5/13/2024 9:20:54 PM)	3	49.37	------		23.90	2.57	0.63	-71.38	0.82	4.40	71.52
   153 	[Retrieved Data]153 (5/13/2024 9:20:54 PM)	3	61.44	------		4.84	2.37	-3.76	-88.87	0.76	0.42	88.88
   154 	[Retrieved Data]154 (5/13/2024 9:20:54 PM)	3	70.07	------		28.00	24.08	-44.97	-67.27	22.33	-41.20	81.98
   154 	[Retrieved Data]154 (5/13/2024 9:20:54 PM)	3	92.34	------		15.31	39.83	-60.19	-78.40	38.22	-56.02	103.66
   155 	[Retrieved Data]155 (5/13/2024 9:20:54 PM)	3	5.55	------		99.41	-0.12	-0.02	4.14	-1.87	3.75	5.89
   155 	[Retrieved Data]155 (5/13/2024 9:20:54 PM)	3	5.79	------		97.32	-0.09	0.12	3.61	-1.70	4.29	5.86
   156 	[Retrieved Data]156 (5/13/2024 9:20:54 PM)	3	98.97	------		54.48	64.79	49.63	-40.80	63.04	53.40	92.14
   156 	[Retrieved Data]156 (5/13/2024 9:20:54 PM)	3	116.98	------		49.86	71.47	67.16	-43.85	69.86	71.33	109.05
   157 	[Retrieved Data]157 (5/13/2024 9:20:54 PM)	3	74.86	------		41.90	-46.81	23.18	-53.37	-48.56	26.96	77.03
   157 	[Retrieved Data]157 (5/13/2024 9:20:54 PM)	3	96.03	------		35.65	-64.84	32.46	-58.06	-66.45	36.64	95.55
   158 	[Retrieved Data]158 (5/13/2024 9:20:54 PM)	3	54.99	------		25.65	12.85	-25.21	-69.63	11.10	-21.43	73.69
   158 	[Retrieved Data]158 (5/13/2024 9:20:54 PM)	3	75.85	------		10.14	25.77	-41.64	-83.57	24.16	-37.47	94.72
   159 	[Retrieved Data]159 (5/13/2024 9:20:54 PM)	3	69.77	------		40.50	41.86	27.03	-54.77	40.11	30.80	74.55
   159 	[Retrieved Data]159 (5/13/2024 9:20:54 PM)	3	87.51	------		33.06	51.00	41.35	-60.65	49.40	45.52	90.50
   160 	[Retrieved Data]160 (5/13/2024 9:20:54 PM)	3	28.92	------		80.06	-0.08	17.84	-15.21	-1.83	21.62	26.50
   160 	[Retrieved Data]160 (5/13/2024 9:20:54 PM)	3	29.95	------		78.08	-0.02	18.14	-15.63	-1.62	22.32	27.29
   161 	[Retrieved Data]161 (5/13/2024 9:20:54 PM)	3	31.17	------		75.74	3.90	18.91	-19.53	2.15	22.68	30.01
   161 	[Retrieved Data]161 (5/13/2024 9:20:54 PM)	3	32.50	------		73.60	4.15	19.42	-20.11	2.54	23.59	31.10
   162 	[Retrieved Data]162 (5/13/2024 9:20:54 PM)	3	32.00	------		77.26	0.01	20.06	-18.02	-1.74	23.83	29.93
   162 	[Retrieved Data]162 (5/13/2024 9:20:54 PM)	3	33.26	------		75.21	0.08	20.58	-18.50	-1.53	24.76	30.94
   163 	[Retrieved Data]163 (5/13/2024 9:20:54 PM)	3	33.68	------		80.60	1.80	22.45	-14.67	0.05	26.22	30.05
   163 	[Retrieved Data]163 (5/13/2024 9:20:54 PM)	3	34.91	------		78.68	1.93	22.98	-15.03	0.32	27.16	31.04
   164 	[Retrieved Data]164 (5/13/2024 9:20:54 PM)	3	33.25	------		74.82	0.91	20.67	-20.45	-0.84	24.45	31.88
   164 	[Retrieved Data]164 (5/13/2024 9:20:54 PM)	3	34.70	------		72.63	1.04	21.34	-21.08	-0.57	25.51	33.10
   165 	[Retrieved Data]165 (5/13/2024 9:20:54 PM)	3	34.27	------		77.99	2.96	22.46	-17.28	1.21	26.23	31.43
   165 	[Retrieved Data]165 (5/13/2024 9:20:54 PM)	3	35.62	------		75.95	3.13	23.05	-17.77	1.52	27.23	32.55
   166 	[Retrieved Data]166 (5/13/2024 9:20:54 PM)	3	37.28	------		80.98	4.86	25.69	-14.29	3.11	29.46	32.89
   166 	[Retrieved Data]166 (5/13/2024 9:20:54 PM)	3	38.63	------		79.08	5.09	26.35	-14.63	3.48	30.53	34.03
   167 	[Retrieved Data]167 (5/13/2024 9:20:54 PM)	3	29.38	------		74.68	-0.43	16.74	-20.59	-2.18	20.52	29.15
   167 	[Retrieved Data]167 (5/13/2024 9:20:54 PM)	3	30.63	------		72.44	-0.36	17.17	-21.27	-1.97	21.35	30.20
   168 	[Retrieved Data]168 (5/13/2024 9:20:54 PM)	3	29.85	------		75.35	1.56	17.56	-19.92	-0.19	21.34	29.19
   168 	[Retrieved Data]168 (5/13/2024 9:20:54 PM)	3	31.10	------		73.18	1.70	18.00	-20.53	0.10	22.18	30.22
   169 	[Retrieved Data]169 (5/13/2024 9:20:54 PM)	3	30.17	------		78.30	3.50	18.67	-16.97	1.75	22.44	28.19
   169 	[Retrieved Data]169 (5/13/2024 9:20:54 PM)	3	31.35	------		76.27	3.71	19.06	-17.44	2.10	23.24	29.13
   170 	[Retrieved Data]170 (5/13/2024 9:20:54 PM)	3	32.52	------		80.11	-0.18	21.18	-15.16	-1.93	24.96	29.26
   170 	[Retrieved Data]170 (5/13/2024 9:20:54 PM)	3	33.68	------		78.15	-0.12	21.64	-15.56	-1.73	25.82	30.19
   171 	[Retrieved Data]171 (5/13/2024 9:20:54 PM)	3	33.39	------		75.98	4.17	21.08	-19.29	2.42	24.86	31.56
   171 	[Retrieved Data]171 (5/13/2024 9:20:54 PM)	3	34.85	------		73.84	4.43	21.73	-19.87	2.82	25.91	32.77
   172 	[Retrieved Data]172 (5/13/2024 9:20:54 PM)	3	34.25	------		77.64	0.90	22.33	-17.63	-0.85	26.10	31.51
   172 	[Retrieved Data]172 (5/13/2024 9:20:54 PM)	3	35.63	------		75.59	1.00	22.98	-18.12	-0.61	27.16	32.65
   173 	[Retrieved Data]173 (5/13/2024 9:20:54 PM)	3	34.92	------		80.71	2.65	23.60	-14.56	0.90	27.37	31.02
   173 	[Retrieved Data]173 (5/13/2024 9:20:54 PM)	3	36.15	------		78.78	2.80	24.14	-14.93	1.19	28.32	32.03
   174 	[Retrieved Data]174 (5/13/2024 9:20:54 PM)	3	39.04	------		68.98	7.46	24.15	-26.30	5.71	27.93	38.78
   174 	[Retrieved Data]174 (5/13/2024 9:20:54 PM)	3	41.26	------		66.46	7.93	25.44	-27.25	6.32	29.62	40.74
   175 	[Retrieved Data]175 (5/13/2024 9:20:54 PM)	3	28.47	------		77.27	0.01	16.71	-18.00	-1.74	20.48	27.32
   175 	[Retrieved Data]175 (5/13/2024 9:20:54 PM)	3	29.58	------		75.19	0.07	17.04	-18.52	-1.54	21.22	28.20
   176 	[Retrieved Data]176 (5/13/2024 9:20:54 PM)	3	29.65	------		77.84	1.77	18.09	-17.44	0.02	21.87	27.97
   176 	[Retrieved Data]176 (5/13/2024 9:20:54 PM)	3	30.81	------		75.79	1.92	18.48	-17.92	0.31	22.65	28.88
   177 	[Retrieved Data]177 (5/13/2024 9:20:54 PM)	3	30.78	------		81.06	3.31	19.86	-14.21	1.56	23.64	27.62
   177 	[Retrieved Data]177 (5/13/2024 9:20:54 PM)	3	31.85	------		79.17	3.48	20.20	-14.54	1.87	24.38	28.45
   178 	[Retrieved Data]178 (5/13/2024 9:20:54 PM)	3	32.17	------		75.17	2.05	19.77	-20.10	0.30	23.54	30.96
   178 	[Retrieved Data]178 (5/13/2024 9:20:54 PM)	3	33.55	------		73.14	2.23	20.38	-20.57	0.63	24.56	32.04
   179 	[Retrieved Data]179 (5/13/2024 9:20:54 PM)	3	33.72	------		78.62	3.93	22.03	-16.65	2.18	25.81	30.79
   179 	[Retrieved Data]179 (5/13/2024 9:20:54 PM)	3	35.05	------		76.61	4.15	22.62	-17.10	2.54	26.79	31.88
   180 	[Retrieved Data]180 (5/13/2024 9:20:54 PM)	3	34.14	------		80.27	0.29	22.74	-15.00	-1.46	26.52	30.50
   180 	[Retrieved Data]180 (5/13/2024 9:20:54 PM)	3	35.36	------		78.33	0.37	23.28	-15.38	-1.24	27.45	31.49
   181 	[Retrieved Data]181 (5/13/2024 9:20:54 PM)	3	35.30	------		75.95	4.82	22.83	-19.32	3.07	26.60	33.03
   181 	[Retrieved Data]181 (5/13/2024 9:20:54 PM)	3	36.81	------		73.81	5.09	23.55	-19.90	3.49	27.73	34.31
   182 	[Retrieved Data]182 (5/13/2024 9:20:54 PM)	3	49.36	------		23.91	2.55	0.61	-71.37	0.80	4.39	71.51
   182 	[Retrieved Data]182 (5/13/2024 9:20:54 PM)	3	61.28	------		5.06	2.15	-3.76	-88.66	0.54	0.41	88.66
   183 	[Retrieved Data]183 (5/13/2024 9:20:54 PM)	3	69.54	------		39.65	-41.13	20.35	-55.62	-42.88	24.12	74.26
   183 	[Retrieved Data]183 (5/13/2024 9:20:54 PM)	3	91.00	------		32.84	-59.81	29.34	-60.87	-61.41	33.52	92.74
   184 	[Retrieved Data]184 (5/13/2024 9:20:54 PM)	3	29.41	------		80.48	1.36	18.48	-14.80	-0.39	22.26	26.73
   184 	[Retrieved Data]184 (5/13/2024 9:20:54 PM)	3	30.43	------		78.55	1.46	18.78	-15.16	-0.15	22.96	27.51
   185 	[Retrieved Data]185 (5/13/2024 9:20:54 PM)	3	31.30	------		75.03	0.15	18.80	-20.24	-1.60	22.57	30.36
   185 	[Retrieved Data]185 (5/13/2024 9:20:54 PM)	3	32.64	------		72.84	0.24	19.34	-20.87	-1.37	23.52	31.47
   186 	[Retrieved Data]186 (5/13/2024 9:20:54 PM)	3	32.42	------		78.02	2.05	20.74	-17.25	0.30	24.51	29.98
   186 	[Retrieved Data]186 (5/13/2024 9:20:54 PM)	3	33.70	------		75.98	2.20	21.27	-17.73	0.59	25.44	31.02
   187 	[Retrieved Data]187 (5/13/2024 9:20:54 PM)	3	32.64	------		80.92	3.93	21.50	-14.35	2.18	25.28	29.15
   187 	[Retrieved Data]187 (5/13/2024 9:20:54 PM)	3	33.82	------		79.01	4.14	21.96	-14.70	2.53	26.14	30.09
   188 	[Retrieved Data]188 (5/13/2024 9:20:54 PM)	3	33.94	------		75.65	3.01	21.58	-19.62	1.26	25.36	32.08
   188 	[Retrieved Data]188 (5/13/2024 9:20:54 PM)	3	35.39	------		73.53	3.22	22.25	-20.18	1.61	26.42	33.28
   189 	[Retrieved Data]189 (5/13/2024 9:20:54 PM)	3	35.56	------		78.71	4.81	23.69	-16.56	3.06	27.47	32.22
   189 	[Retrieved Data]189 (5/13/2024 9:20:54 PM)	3	36.94	------		76.71	5.05	24.34	-17.00	3.44	28.51	33.37
   190 	[Retrieved Data]190 (5/13/2024 9:20:54 PM)	3	69.94	------		28.04	23.99	-44.87	-67.23	22.24	-41.09	81.88
   190 	[Retrieved Data]190 (5/13/2024 9:20:54 PM)	3	92.18	------		15.32	39.68	-60.08	-78.39	38.08	-55.91	103.54
   191 	[Retrieved Data]191 (5/13/2024 9:20:54 PM)	3	5.57	------		99.40	-0.11	0.00	4.13	-1.86	3.77	5.90
   191 	[Retrieved Data]191 (5/13/2024 9:20:54 PM)	3	5.81	------		97.32	-0.09	0.13	3.61	-1.70	4.30	5.87
   192 	[Retrieved Data]192 (5/13/2024 9:20:54 PM)	3	5.56	------		99.41	-0.11	-0.01	4.14	-1.86	3.77	5.90
   192 	[Retrieved Data]192 (5/13/2024 9:20:54 PM)	3	5.80	------		97.33	-0.09	0.13	3.61	-1.69	4.30	5.87
   193 	[Retrieved Data]193 (5/13/2024 9:20:54 PM)	3	5.56	------		99.41	-0.11	-0.01	4.14	-1.86	3.76	5.89
   193 	[Retrieved Data]193 (5/13/2024 9:20:54 PM)	3	5.82	------		97.32	-0.10	0.13	3.61	-1.70	4.31	5.87
