	Data Name	Target No.	CMC(l:c)(D50)	Judgement	Pseudo Color(D50)	L*(D50)	a*(D50)	b*(D50)	dL*(D50)	da*(D50)	db*(D50)	dE*ab(D50)
    23 	[Retrieved Data]23 (5/13/2024 9:20:54 PM)	3	43.87	------		44.63	11.96	15.53	-50.64	10.21	19.30	55.15
    23 	[Retrieved Data]23 (5/13/2024 9:20:54 PM)	3	44.57	------		43.65	12.28	16.10	-50.06	10.67	20.28	55.06
    24 	[Retrieved Data]24 (5/13/2024 9:20:54 PM)	3	45.65	------		43.68	14.66	16.12	-51.59	12.91	19.89	56.78
    24 	[Retrieved Data]24 (5/13/2024 9:20:54 PM)	3	48.86	------		40.64	16.07	18.28	-53.08	14.46	22.45	59.42
    25 	[Retrieved Data]25 (5/13/2024 9:20:54 PM)	3	44.84	------		41.22	11.67	14.14	-54.06	9.92	17.91	57.80
    25 	[Retrieved Data]25 (5/13/2024 9:20:54 PM)	3	49.60	------		36.49	13.60	17.26	-57.22	12.00	21.44	62.27
    26 	[Retrieved Data]26 (5/13/2024 9:20:54 PM)	3	42.00	------		40.16	7.58	9.42	-55.12	5.83	13.20	56.97
    26 	[Retrieved Data]26 (5/13/2024 9:20:54 PM)	3	42.92	------		38.53	7.95	10.00	-55.18	6.34	14.18	57.32
    27 	[Retrieved Data]27 (5/13/2024 9:20:54 PM)	3	44.30	------		36.87	6.95	10.19	-58.40	5.20	13.97	60.27
    27 	[Retrieved Data]27 (5/13/2024 9:20:54 PM)	3	49.35	------		30.84	8.66	13.15	-62.88	7.05	17.32	65.60
    28 	[Retrieved Data]28 (5/13/2024 9:20:54 PM)	3	44.68	------		34.77	4.32	8.76	-60.51	2.57	12.53	61.84
    28 	[Retrieved Data]28 (5/13/2024 9:20:54 PM)	3	49.88	------		28.28	5.57	11.91	-65.43	3.96	16.09	67.49
    29 	[Retrieved Data]29 (5/13/2024 9:20:54 PM)	3	44.95	------		32.58	3.87	5.90	-62.70	2.12	9.68	63.47
    29 	[Retrieved Data]29 (5/13/2024 9:20:54 PM)	3	48.80	------		26.97	4.92	7.62	-66.74	3.31	11.79	67.86
    30 	[Retrieved Data]30 (5/13/2024 9:20:54 PM)	3	46.59	------		30.45	5.89	6.03	-64.82	4.14	9.80	65.69
    30 	[Retrieved Data]30 (5/13/2024 9:20:54 PM)	3	49.58	------		26.10	7.05	7.51	-67.61	5.45	11.69	68.83
    31 	[Retrieved Data]31 (5/13/2024 9:20:54 PM)	3	47.75	------		29.71	4.89	8.20	-65.57	3.14	11.97	66.73
    31 	[Retrieved Data]31 (5/13/2024 9:20:54 PM)	3	59.07	------		18.08	8.40	17.00	-75.63	6.79	21.17	78.83
    32 	[Retrieved Data]32 (5/13/2024 9:20:54 PM)	3	47.54	------		29.62	6.90	6.82	-65.66	5.15	10.60	66.70
    32 	[Retrieved Data]32 (5/13/2024 9:20:54 PM)	3	57.88	------		18.21	11.59	13.46	-75.50	9.99	17.63	78.17
    33 	[Retrieved Data]33 (5/13/2024 9:20:54 PM)	3	46.91	------		28.62	3.01	3.89	-66.65	1.26	7.66	67.10
    33 	[Retrieved Data]33 (5/13/2024 9:20:54 PM)	3	50.26	------		23.16	3.81	4.79	-70.55	2.21	8.96	71.15
    34 	[Retrieved Data]34 (5/13/2024 9:20:54 PM)	3	46.64	------		28.52	2.81	2.60	-66.75	1.06	6.38	67.07
    34 	[Retrieved Data]34 (5/13/2024 9:20:54 PM)	3	57.22	------		13.62	6.10	6.02	-80.09	4.49	10.20	80.86
    35 	[Retrieved Data]35 (5/13/2024 9:20:54 PM)	3	46.86	------		27.40	0.67	0.06	-67.87	-1.08	3.83	67.99
    35 	[Retrieved Data]35 (5/13/2024 9:20:54 PM)	3	50.25	------		21.37	0.88	0.07	-72.34	-0.73	4.24	72.47
    36 	[Retrieved Data]36 (5/13/2024 9:20:54 PM)	3	50.28	------		22.44	0.02	0.19	-72.83	-1.73	3.97	72.96
    36 	[Retrieved Data]36 (5/13/2024 9:20:54 PM)	3	59.42	------		7.90	-0.55	-2.20	-85.81	-2.16	1.98	85.86
    37 	[Retrieved Data]37 (5/13/2024 9:20:54 PM)	3	5.53	------		99.42	-0.12	-0.05	4.15	-1.87	3.72	5.88
    37 	[Retrieved Data]37 (5/13/2024 9:20:54 PM)	3	5.72	------		97.36	-0.10	0.07	3.65	-1.70	4.24	5.85
    38 	[Retrieved Data]38 (5/13/2024 9:20:54 PM)	3	33.19	------		47.44	-0.21	-0.21	-47.83	-1.96	3.57	48.01
    38 	[Retrieved Data]38 (5/13/2024 9:20:54 PM)	3	33.51	------		45.77	-0.19	-0.12	-47.94	-1.80	4.05	48.15
    39 	[Retrieved Data]39 (5/13/2024 9:20:54 PM)	3	15.40	------		73.93	-0.24	-0.19	-21.35	-1.99	3.58	21.74
    39 	[Retrieved Data]39 (5/13/2024 9:20:54 PM)	3	22.20	------		62.41	-0.23	-0.14	-31.30	-1.84	4.03	31.61
    40 	[Retrieved Data]40 (5/13/2024 9:20:54 PM)	3	14.13	------		75.85	-0.28	-0.26	-19.42	-2.03	3.51	19.84
    40 	[Retrieved Data]40 (5/13/2024 9:20:54 PM)	3	14.92	------		73.38	-0.27	-0.16	-20.33	-1.88	4.01	20.81
    41 	[Retrieved Data]41 (5/13/2024 9:20:54 PM)	3	14.80	------		74.81	-0.30	-0.34	-20.47	-2.05	3.44	20.85
    41 	[Retrieved Data]41 (5/13/2024 9:20:54 PM)	3	15.68	------		72.19	-0.29	-0.24	-21.52	-1.90	3.94	21.96
    42 	[Retrieved Data]42 (5/13/2024 9:20:54 PM)	3	16.50	------		72.18	-0.35	-0.47	-23.10	-2.10	3.30	23.43
    42 	[Retrieved Data]42 (5/13/2024 9:20:54 PM)	3	17.45	------		69.46	-0.34	-0.37	-24.25	-1.95	3.81	24.63
    43 	[Retrieved Data]43 (5/13/2024 9:20:54 PM)	3	21.32	------		64.96	-0.26	-0.35	-30.32	-2.01	3.42	30.57
    43 	[Retrieved Data]43 (5/13/2024 9:20:54 PM)	3	19.03	------		67.26	-0.14	0.12	-26.45	-1.75	4.29	26.85
    44 	[Retrieved Data]44 (5/13/2024 9:20:54 PM)	3	30.75	------		51.63	0.34	1.42	-43.64	-1.41	5.19	43.97
    44 	[Retrieved Data]44 (5/13/2024 9:20:54 PM)	3	31.48	------		49.48	0.40	1.57	-44.23	-1.21	5.75	44.62
    45 	[Retrieved Data]45 (5/13/2024 9:20:54 PM)	3	65.32	------		0.50	0.69	0.47	-94.78	-1.07	4.24	94.88
    45 	[Retrieved Data]45 (5/13/2024 9:20:54 PM)	3	64.73	------		0.38	0.44	0.29	-93.33	-1.17	4.46	93.44
    46 	[Retrieved Data]46 (5/13/2024 9:20:54 PM)	3	41.48	------		38.62	5.93	6.59	-56.66	4.18	10.37	57.75
    46 	[Retrieved Data]46 (5/13/2024 9:20:54 PM)	3	34.39	------		50.17	7.73	7.28	-43.54	6.13	11.46	45.44
    47 	[Retrieved Data]47 (5/13/2024 9:20:54 PM)	3	34.91	------		51.07	8.79	7.96	-44.20	7.04	11.74	46.27
    47 	[Retrieved Data]47 (5/13/2024 9:20:54 PM)	3	33.71	------		52.21	7.50	8.38	-41.50	5.89	12.55	43.75
    48 	[Retrieved Data]48 (5/13/2024 9:20:54 PM)	3	13.46	------		91.28	3.50	6.21	-3.99	1.75	9.98	10.89
    48 	[Retrieved Data]48 (5/13/2024 9:20:54 PM)	3	14.10	------		91.22	3.52	6.30	-2.49	1.91	10.47	10.93
    49 	[Retrieved Data]49 (5/13/2024 9:20:54 PM)	3	13.60	------		91.15	3.48	6.31	-4.13	1.73	10.08	11.03
    49 	[Retrieved Data]49 (5/13/2024 9:20:54 PM)	3	14.24	------		91.08	3.51	6.41	-2.63	1.90	10.58	11.07
    50 	[Retrieved Data]50 (5/13/2024 9:20:54 PM)	3	17.22	------		90.73	-0.13	9.23	-4.54	-1.88	13.00	13.90
    50 	[Retrieved Data]50 (5/13/2024 9:20:54 PM)	3	17.81	------		90.66	-0.12	9.30	-3.05	-1.73	13.48	13.93
    51 	[Retrieved Data]51 (5/13/2024 9:20:54 PM)	3	25.03	------		86.33	1.93	15.62	-8.95	0.18	19.39	21.36
    51 	[Retrieved Data]51 (5/13/2024 9:20:54 PM)	3	25.55	------		86.24	1.94	15.70	-7.47	0.33	19.88	21.24
    52 	[Retrieved Data]52 (5/13/2024 9:20:54 PM)	3	27.98	------		80.45	1.76	17.17	-14.82	0.01	20.94	25.66
    52 	[Retrieved Data]52 (5/13/2024 9:20:54 PM)	3	28.35	------		80.36	1.76	17.25	-13.35	0.15	21.42	25.24
    53 	[Retrieved Data]53 (5/13/2024 9:20:54 PM)	3	59.06	------		52.31	12.79	37.90	-42.96	11.04	41.68	60.87
    53 	[Retrieved Data]53 (5/13/2024 9:20:54 PM)	3	59.01	------		52.22	12.80	38.00	-41.49	11.19	42.17	60.21
    54 	[Retrieved Data]54 (5/13/2024 9:20:54 PM)	3	58.85	------		41.78	19.94	30.44	-53.49	18.19	34.21	66.05
    54 	[Retrieved Data]54 (5/13/2024 9:20:54 PM)	3	58.70	------		41.70	19.98	30.50	-52.01	18.38	34.68	65.15
