	Data Name	Target No.	CMC(l:c)(D65)	Judgement	Pseudo Color(D65)	L*(D65)	a*(D65)	b*(D65)	dL*(D65)	da*(D65)	db*(D65)	dE*ab(D65)
    96 	[Retrieved Data]96 (5/13/2024 9:20:54 PM)	3	29.25	------		78.72	3.09	18.18	-16.66	1.67	21.52	27.27
    96 	[Retrieved Data]96 (5/13/2024 9:20:54 PM)	3	31.07	------		76.19	3.45	19.17	-17.65	2.23	22.84	28.95
    97 	[Retrieved Data]97 (5/13/2024 9:20:54 PM)	3	45.96	------		45.34	10.38	19.74	-50.04	8.96	23.09	55.83
    97 	[Retrieved Data]97 (5/13/2024 9:20:54 PM)	3	46.56	------		44.53	10.62	20.35	-49.31	9.40	24.02	55.65
    98 	[Retrieved Data]98 (5/13/2024 9:20:54 PM)	3	45.89	------		45.12	10.30	19.53	-50.26	8.88	22.87	55.93
    98 	[Retrieved Data]98 (5/13/2024 9:20:54 PM)	3	46.57	------		44.51	10.62	20.36	-49.33	9.40	24.03	55.67
    99 	[Retrieved Data]99 (5/13/2024 9:20:54 PM)	3	45.94	------		45.34	10.39	19.71	-50.04	8.97	23.06	55.82
    99 	[Retrieved Data]99 (5/13/2024 9:20:54 PM)	3	46.58	------		44.51	10.62	20.37	-49.33	9.40	24.04	55.68
   100 	[Retrieved Data]100 (5/13/2024 9:20:54 PM)	3	3.46	------		94.33	1.19	-0.56	-1.05	-0.23	2.78	2.98
   100 	[Retrieved Data]100 (5/13/2024 9:20:54 PM)	3	3.48	------		92.57	1.11	-0.84	-1.28	-0.10	2.82	3.10
   101 	[Retrieved Data]101 (5/13/2024 9:20:54 PM)	3	6.28	------		92.69	2.98	0.94	-2.69	1.56	4.29	5.30
   101 	[Retrieved Data]101 (5/13/2024 9:20:54 PM)	3	6.59	------		90.83	3.01	0.72	-3.01	1.79	4.38	5.61
   102 	[Retrieved Data]102 (5/13/2024 9:20:54 PM)	3	14.29	------		92.83	0.61	7.55	-2.55	-0.81	10.90	11.22
   102 	[Retrieved Data]102 (5/13/2024 9:20:54 PM)	3	14.92	------		90.96	0.52	7.63	-2.88	-0.70	11.29	11.68
   103 	[Retrieved Data]103 (5/13/2024 9:20:54 PM)	3	20.69	------		88.50	0.30	12.46	-6.88	-1.12	15.81	17.28
   103 	[Retrieved Data]103 (5/13/2024 9:20:54 PM)	3	21.67	------		86.46	0.28	12.83	-7.39	-0.94	16.49	18.10
   104 	[Retrieved Data]104 (5/13/2024 9:20:54 PM)	3	28.44	------		77.88	1.72	17.25	-17.50	0.30	20.59	27.03
   104 	[Retrieved Data]104 (5/13/2024 9:20:54 PM)	3	30.22	------		75.29	1.78	18.21	-18.55	0.56	21.88	28.69
   105 	[Retrieved Data]105 (5/13/2024 9:20:54 PM)	3	40.11	------		57.96	4.57	21.35	-37.42	3.16	24.69	44.94
   105 	[Retrieved Data]105 (5/13/2024 9:20:54 PM)	3	44.62	------		53.75	5.58	24.46	-40.09	4.36	28.13	49.17
   106 	[Retrieved Data]106 (5/13/2024 9:20:54 PM)	3	38.93	------		47.68	7.53	12.24	-47.70	6.11	15.59	50.56
   106 	[Retrieved Data]106 (5/13/2024 9:20:54 PM)	3	44.02	------		41.84	9.41	15.05	-52.00	8.20	18.71	55.87
   107 	[Retrieved Data]107 (5/13/2024 9:20:54 PM)	3	41.39	------		39.35	6.02	7.66	-56.03	4.60	11.01	57.29
   107 	[Retrieved Data]107 (5/13/2024 9:20:54 PM)	3	47.69	------		31.39	9.09	10.42	-62.45	7.87	14.09	64.50
   108 	[Retrieved Data]108 (5/13/2024 9:20:54 PM)	3	43.49	------		33.24	-0.59	2.74	-62.14	-2.01	6.09	62.47
   108 	[Retrieved Data]108 (5/13/2024 9:20:54 PM)	3	50.27	------		22.59	0.88	4.04	-71.25	-0.34	7.71	71.67
   109 	[Retrieved Data]109 (5/13/2024 9:20:54 PM)	3	45.20	------		30.14	-1.40	0.40	-65.24	-2.82	3.74	65.41
   109 	[Retrieved Data]109 (5/13/2024 9:20:54 PM)	3	53.30	------		17.17	-1.02	0.44	-76.68	-2.24	4.11	76.82
   110 	[Retrieved Data]110 (5/13/2024 9:20:54 PM)	3	4.68	------		93.93	-0.27	0.07	-1.45	-1.69	3.42	4.08
   110 	[Retrieved Data]110 (5/13/2024 9:20:54 PM)	3	4.85	------		92.11	-0.25	0.04	-1.73	-1.47	3.70	4.34
   111 	[Retrieved Data]111 (5/13/2024 9:20:54 PM)	3	7.75	------		93.12	-0.34	2.18	-2.26	-1.76	5.53	6.22
   111 	[Retrieved Data]111 (5/13/2024 9:20:54 PM)	3	8.23	------		91.26	-0.31	2.25	-2.59	-1.53	5.92	6.64
   112 	[Retrieved Data]112 (5/13/2024 9:20:54 PM)	3	13.46	------		93.43	-2.08	6.31	-1.95	-3.50	9.65	10.45
   112 	[Retrieved Data]112 (5/13/2024 9:20:54 PM)	3	14.18	------		91.57	-2.12	6.54	-2.27	-3.34	10.21	10.98
   113 	[Retrieved Data]113 (5/13/2024 9:20:54 PM)	3	21.74	------		89.90	-0.96	13.37	-5.48	-2.38	16.72	17.75
   113 	[Retrieved Data]113 (5/13/2024 9:20:54 PM)	3	22.96	------		87.92	-0.94	14.00	-5.93	-2.16	17.66	18.76
   114 	[Retrieved Data]114 (5/13/2024 9:20:54 PM)	3	28.07	------		81.70	4.90	17.59	-13.68	3.48	20.93	25.25
   114 	[Retrieved Data]114 (5/13/2024 9:20:54 PM)	3	29.95	------		79.32	5.26	18.64	-14.52	4.04	22.31	26.92
   115 	[Retrieved Data]115 (5/13/2024 9:20:54 PM)	3	36.89	------		62.00	3.56	19.82	-33.38	2.14	23.17	40.69
   115 	[Retrieved Data]115 (5/13/2024 9:20:54 PM)	3	40.63	------		58.31	4.17	22.37	-35.54	2.95	26.04	44.16
   116 	[Retrieved Data]116 (5/13/2024 9:20:54 PM)	3	37.29	------		50.30	2.84	13.02	-45.08	1.42	16.36	47.98
   116 	[Retrieved Data]116 (5/13/2024 9:20:54 PM)	3	41.76	------		45.19	3.65	15.91	-48.65	2.43	19.57	52.50
   117 	[Retrieved Data]117 (5/13/2024 9:20:54 PM)	3	40.11	------		40.35	3.39	6.85	-55.03	1.97	10.19	56.00
   117 	[Retrieved Data]117 (5/13/2024 9:20:54 PM)	3	45.51	------		33.14	4.87	9.63	-60.70	3.65	13.30	62.25
   118 	[Retrieved Data]118 (5/13/2024 9:20:54 PM)	3	43.31	------		33.30	-2.17	1.26	-62.07	-3.59	4.61	62.35
   118 	[Retrieved Data]118 (5/13/2024 9:20:54 PM)	3	49.50	------		23.56	-2.61	2.51	-70.29	-3.83	6.17	70.66
   119 	[Retrieved Data]119 (5/13/2024 9:20:54 PM)	3	45.45	------		29.96	-3.51	-1.47	-65.42	-4.92	1.87	65.63
   119 	[Retrieved Data]119 (5/13/2024 9:20:54 PM)	3	53.43	------		17.67	-5.61	-1.87	-76.17	-6.82	1.80	76.50
   120 	[Retrieved Data]120 (5/13/2024 9:20:54 PM)	3	45.13	------		30.32	-1.21	0.92	-65.05	-2.63	4.26	65.25
   120 	[Retrieved Data]120 (5/13/2024 9:20:54 PM)	3	53.19	------		17.50	-0.77	1.30	-76.35	-1.98	4.97	76.53
   121 	[Retrieved Data]121 (5/13/2024 9:20:54 PM)	3	47.65	------		26.87	-4.42	-3.51	-68.51	-5.84	-0.16	68.76
   121 	[Retrieved Data]121 (5/13/2024 9:20:54 PM)	3	57.01	------		13.32	-8.41	-6.36	-80.53	-9.63	-2.69	81.14
   122 	[Retrieved Data]122 (5/13/2024 9:20:54 PM)	3	65.92	------		70.50	-26.71	41.40	-24.88	-28.13	44.74	58.41
   122 	[Retrieved Data]122 (5/13/2024 9:20:54 PM)	3	71.91	------		67.64	-28.78	46.40	-26.20	-30.00	50.07	63.98
   123 	[Retrieved Data]123 (5/13/2024 9:20:54 PM)	3	89.48	------		76.47	-37.64	59.71	-18.90	-39.06	63.05	76.54
   123 	[Retrieved Data]123 (5/13/2024 9:20:54 PM)	3	96.79	------		73.99	-39.61	66.51	-19.86	-40.83	70.17	83.58
   124 	[Retrieved Data]124 (5/13/2024 9:20:54 PM)	3	65.78	------		70.14	-26.66	41.21	-25.23	-28.08	44.56	58.40
   124 	[Retrieved Data]124 (5/13/2024 9:20:54 PM)	3	71.79	------		67.26	-28.75	46.23	-26.58	-29.97	49.89	63.99
   125 	[Retrieved Data]125 (5/13/2024 9:20:54 PM)	3	65.69	------		70.27	-26.53	41.23	-25.11	-27.95	44.58	58.30
   125 	[Retrieved Data]125 (5/13/2024 9:20:54 PM)	3	71.60	------		67.41	-28.58	46.16	-26.44	-29.80	49.82	63.79
   126 	[Retrieved Data]126 (5/13/2024 9:20:54 PM)	3	11.82	------		91.81	0.17	5.39	-3.57	-1.25	8.73	9.51
   126 	[Retrieved Data]126 (5/13/2024 9:20:54 PM)	3	12.62	------		89.86	0.23	5.62	-3.99	-0.99	9.28	10.15
   127 	[Retrieved Data]127 (5/13/2024 9:20:54 PM)	3	12.50	------		90.32	0.97	5.83	-5.06	-0.45	9.17	10.48
   127 	[Retrieved Data]127 (5/13/2024 9:20:54 PM)	3	13.39	------		88.30	1.05	6.08	-5.54	-0.17	9.75	11.22
   128 	[Retrieved Data]128 (5/13/2024 9:20:54 PM)	3	23.22	------		91.68	-2.70	14.46	-3.70	-4.12	17.80	18.65
   128 	[Retrieved Data]128 (5/13/2024 9:20:54 PM)	3	24.43	------		89.70	-2.76	15.12	-4.14	-3.98	18.78	19.64
   129 	[Retrieved Data]129 (5/13/2024 9:20:54 PM)	3	27.05	------		87.05	-2.81	17.33	-8.32	-4.23	20.68	22.69
   129 	[Retrieved Data]129 (5/13/2024 9:20:54 PM)	3	28.55	------		84.88	-2.85	18.23	-8.97	-4.06	21.89	24.00
   130 	[Retrieved Data]130 (5/13/2024 9:20:54 PM)	3	10.92	------		94.52	1.30	4.96	-0.86	-0.12	8.31	8.35
   130 	[Retrieved Data]130 (5/13/2024 9:20:54 PM)	3	10.79	------		93.13	1.42	4.48	-0.71	0.21	8.14	8.18
   131 	[Retrieved Data]131 (5/13/2024 9:20:54 PM)	3	10.88	------		94.51	1.31	4.93	-0.86	-0.11	8.28	8.32
   131 	[Retrieved Data]131 (5/13/2024 9:20:54 PM)	3	10.75	------		93.13	1.43	4.44	-0.71	0.22	8.11	8.14
   132 	[Retrieved Data]132 (5/13/2024 9:20:54 PM)	3	10.85	------		94.51	1.32	4.91	-0.87	-0.10	8.25	8.30
   132 	[Retrieved Data]132 (5/13/2024 9:20:54 PM)	3	10.74	------		93.12	1.44	4.44	-0.72	0.22	8.11	8.14
   133 	[Retrieved Data]133 (5/13/2024 9:20:54 PM)	3	12.86	------		93.02	0.63	6.40	-2.36	-0.79	9.74	10.06
   133 	[Retrieved Data]133 (5/13/2024 9:20:54 PM)	3	12.78	------		91.59	0.72	5.95	-2.25	-0.49	9.62	9.89
   134 	[Retrieved Data]134 (5/13/2024 9:20:54 PM)	3	20.99	------		92.82	-1.76	12.81	-2.56	-3.18	16.15	16.66
   134 	[Retrieved Data]134 (5/13/2024 9:20:54 PM)	3	21.16	------		91.38	-1.74	12.59	-2.46	-2.96	16.26	16.71
   135 	[Retrieved Data]135 (5/13/2024 9:20:54 PM)	3	23.79	------		87.51	-0.32	14.95	-7.87	-1.73	18.29	19.99
   135 	[Retrieved Data]135 (5/13/2024 9:20:54 PM)	3	24.17	------		85.87	-0.25	14.88	-7.97	-1.47	18.54	20.24
   136 	[Retrieved Data]136 (5/13/2024 9:20:54 PM)	3	31.71	------		77.38	0.69	20.13	-18.00	-0.73	23.47	29.58
   136 	[Retrieved Data]136 (5/13/2024 9:20:54 PM)	3	32.76	------		75.34	0.80	20.59	-18.51	-0.42	24.26	30.52
   137 	[Retrieved Data]137 (5/13/2024 9:20:54 PM)	3	40.87	------		57.47	2.53	22.09	-37.91	1.11	25.43	45.66
   137 	[Retrieved Data]137 (5/13/2024 9:20:54 PM)	3	44.21	------		54.00	2.94	24.38	-39.84	1.72	28.05	48.75
   138 	[Retrieved Data]138 (5/13/2024 9:20:54 PM)	3	41.64	------		48.04	5.96	17.03	-47.34	4.54	20.37	51.74
   138 	[Retrieved Data]138 (5/13/2024 9:20:54 PM)	3	46.19	------		43.20	7.12	19.97	-50.65	5.90	23.64	56.20
   139 	[Retrieved Data]139 (5/13/2024 9:20:54 PM)	3	43.75	------		37.33	6.01	10.11	-58.05	4.59	13.46	59.76
   139 	[Retrieved Data]139 (5/13/2024 9:20:54 PM)	3	49.81	------		29.87	8.26	13.23	-63.98	7.05	16.90	66.55
   140 	[Retrieved Data]140 (5/13/2024 9:20:54 PM)	3	45.90	------		30.50	0.56	5.03	-64.88	-0.86	8.38	65.43
   140 	[Retrieved Data]140 (5/13/2024 9:20:54 PM)	3	52.91	------		20.11	1.46	7.27	-73.74	0.24	10.93	74.54
   141 	[Retrieved Data]141 (5/13/2024 9:20:54 PM)	3	47.66	------		26.93	0.23	2.56	-68.45	-1.19	5.90	68.72
   141 	[Retrieved Data]141 (5/13/2024 9:20:54 PM)	3	56.13	------		13.62	1.08	3.02	-80.23	-0.14	6.68	80.51
   142 	[Retrieved Data]142 (5/13/2024 9:20:54 PM)	3	12.50	------		90.44	0.34	5.78	-4.94	-1.08	9.13	10.43
   142 	[Retrieved Data]142 (5/13/2024 9:20:54 PM)	3	12.40	------		88.89	0.44	5.32	-4.95	-0.78	8.99	10.29
   143 	[Retrieved Data]143 (5/13/2024 9:20:54 PM)	3	13.17	------		91.04	0.38	6.42	-4.34	-1.04	9.77	10.74
   143 	[Retrieved Data]143 (5/13/2024 9:20:54 PM)	3	13.12	------		89.50	0.47	6.00	-4.34	-0.75	9.67	10.62
   144 	[Retrieved Data]144 (5/13/2024 9:20:54 PM)	3	13.02	------		91.15	0.32	6.31	-4.23	-1.09	9.66	10.60
   144 	[Retrieved Data]144 (5/13/2024 9:20:54 PM)	3	12.97	------		89.69	0.42	5.90	-4.16	-0.80	9.57	10.46
   145 	[Retrieved Data]145 (5/13/2024 9:20:54 PM)	3	13.20	------		91.06	0.34	6.45	-4.32	-1.08	9.80	10.76
   145 	[Retrieved Data]145 (5/13/2024 9:20:54 PM)	3	13.15	------		89.52	0.43	6.02	-4.32	-0.78	9.69	10.64
   146 	[Retrieved Data]146 (5/13/2024 9:20:54 PM)	3	10.97	------		93.52	-2.51	3.95	-1.85	-3.93	7.29	8.49
   146 	[Retrieved Data]146 (5/13/2024 9:20:54 PM)	3	10.70	------		92.15	-2.49	3.45	-1.69	-3.71	7.12	8.20
   147 	[Retrieved Data]147 (5/13/2024 9:20:54 PM)	3	13.90	------		94.19	0.05	7.24	-1.19	-1.37	10.58	10.74
   147 	[Retrieved Data]147 (5/13/2024 9:20:54 PM)	3	13.84	------		92.82	0.14	6.81	-1.02	-1.08	10.48	10.58
   148 	[Retrieved Data]148 (5/13/2024 9:20:54 PM)	3	10.94	------		94.32	1.32	4.97	-1.06	-0.10	8.32	8.38
   148 	[Retrieved Data]148 (5/13/2024 9:20:54 PM)	3	10.80	------		92.98	1.44	4.48	-0.86	0.22	8.15	8.19
   149 	[Retrieved Data]149 (5/13/2024 9:20:54 PM)	3	13.57	------		94.17	1.08	7.06	-1.21	-0.34	10.41	10.48
   149 	[Retrieved Data]149 (5/13/2024 9:20:54 PM)	3	13.53	------		92.81	1.20	6.63	-1.04	-0.02	10.30	10.35
   150 	[Retrieved Data]150 (5/13/2024 9:20:54 PM)	3	13.18	------		91.08	0.37	6.44	-4.29	-1.05	9.78	10.73
   150 	[Retrieved Data]150 (5/13/2024 9:20:54 PM)	3	13.15	------		89.55	0.45	6.03	-4.29	-0.76	9.70	10.63
   151 	[Retrieved Data]151 (5/13/2024 9:20:54 PM)	3	34.62	------		77.10	3.10	22.71	-18.28	1.68	26.06	31.87
   151 	[Retrieved Data]151 (5/13/2024 9:20:54 PM)	3	35.84	------		75.03	3.31	23.33	-18.82	2.09	26.99	32.97
   152 	[Retrieved Data]152 (5/13/2024 9:20:54 PM)	3	5.10	------		99.42	-0.10	-0.03	4.04	-1.52	3.32	5.44
   152 	[Retrieved Data]152 (5/13/2024 9:20:54 PM)	3	5.29	------		97.30	-0.10	0.13	3.46	-1.31	3.79	5.30
   153 	[Retrieved Data]153 (5/13/2024 9:20:54 PM)	3	49.39	------		23.80	2.20	0.35	-71.58	0.78	3.69	71.68
   153 	[Retrieved Data]153 (5/13/2024 9:20:54 PM)	3	61.44	------		4.92	2.01	-4.08	-88.92	0.80	-0.41	88.93
   154 	[Retrieved Data]154 (5/13/2024 9:20:54 PM)	3	70.18	------		29.97	24.29	-43.64	-65.41	22.87	-40.29	80.16
   154 	[Retrieved Data]154 (5/13/2024 9:20:54 PM)	3	89.38	------		18.95	36.95	-56.22	-74.89	35.73	-52.55	98.22
   155 	[Retrieved Data]155 (5/13/2024 9:20:54 PM)	3	5.11	------		99.42	-0.10	-0.02	4.04	-1.52	3.32	5.45
   155 	[Retrieved Data]155 (5/13/2024 9:20:54 PM)	3	5.28	------		97.31	-0.10	0.12	3.47	-1.31	3.79	5.30
   156 	[Retrieved Data]156 (5/13/2024 9:20:54 PM)	3	92.80	------		51.49	57.76	44.87	-43.89	56.34	48.22	86.17
   156 	[Retrieved Data]156 (5/13/2024 9:20:54 PM)	3	111.44	------		46.47	64.81	61.63	-47.37	63.59	65.29	102.72
   157 	[Retrieved Data]157 (5/13/2024 9:20:54 PM)	3	73.36	------		42.02	-43.01	25.37	-53.36	-44.43	28.71	75.14
   157 	[Retrieved Data]157 (5/13/2024 9:20:54 PM)	3	93.57	------		35.80	-58.25	36.19	-58.05	-59.47	39.86	92.17
   158 	[Retrieved Data]158 (5/13/2024 9:20:54 PM)	3	55.35	------		26.53	13.24	-25.07	-68.85	11.82	-21.73	73.16
   158 	[Retrieved Data]158 (5/13/2024 9:20:54 PM)	3	74.64	------		12.41	24.58	-39.48	-81.43	23.37	-35.81	91.98
   159 	[Retrieved Data]159 (5/13/2024 9:20:54 PM)	3	65.93	------		38.64	36.60	23.96	-56.74	35.18	27.31	72.13
   159 	[Retrieved Data]159 (5/13/2024 9:20:54 PM)	3	83.62	------		30.68	45.96	37.13	-63.16	44.74	40.80	87.50
   160 	[Retrieved Data]160 (5/13/2024 9:20:54 PM)	3	29.19	------		79.37	-1.40	18.09	-16.01	-2.82	21.44	26.91
   160 	[Retrieved Data]160 (5/13/2024 9:20:54 PM)	3	30.05	------		77.38	-1.37	18.41	-16.47	-2.58	22.08	27.66
   161 	[Retrieved Data]161 (5/13/2024 9:20:54 PM)	3	31.09	------		74.94	2.02	18.91	-20.44	0.60	22.25	30.22
   161 	[Retrieved Data]161 (5/13/2024 9:20:54 PM)	3	32.27	------		72.78	2.21	19.42	-21.07	0.99	23.09	31.27
   162 	[Retrieved Data]162 (5/13/2024 9:20:54 PM)	3	32.37	------		76.50	-1.53	20.32	-18.88	-2.95	23.66	30.41
   162 	[Retrieved Data]162 (5/13/2024 9:20:54 PM)	3	33.47	------		74.44	-1.50	20.86	-19.40	-2.72	24.53	31.39
   163 	[Retrieved Data]163 (5/13/2024 9:20:54 PM)	3	33.70	------		79.70	0.43	22.43	-15.68	-0.99	25.77	30.19
   163 	[Retrieved Data]163 (5/13/2024 9:20:54 PM)	3	34.77	------		77.75	0.53	22.97	-16.09	-0.69	26.64	31.13
   164 	[Retrieved Data]164 (5/13/2024 9:20:54 PM)	3	33.54	------		74.03	-0.78	20.84	-21.35	-2.20	24.18	32.33
   164 	[Retrieved Data]164 (5/13/2024 9:20:54 PM)	3	34.85	------		71.81	-0.71	21.53	-22.03	-1.93	25.19	33.52
   165 	[Retrieved Data]165 (5/13/2024 9:20:54 PM)	3	34.12	------		77.05	1.50	22.28	-18.33	0.09	25.62	31.50
   165 	[Retrieved Data]165 (5/13/2024 9:20:54 PM)	3	35.31	------		74.98	1.64	22.88	-18.86	0.42	26.55	32.57
   166 	[Retrieved Data]166 (5/13/2024 9:20:54 PM)	3	36.89	------		79.87	3.44	25.29	-15.50	2.02	28.64	32.63
   166 	[Retrieved Data]166 (5/13/2024 9:20:54 PM)	3	38.10	------		77.95	3.65	25.96	-15.90	2.43	29.63	33.71
   167 	[Retrieved Data]167 (5/13/2024 9:20:54 PM)	3	29.87	------		74.07	-2.10	17.13	-21.31	-3.52	20.47	29.76
   167 	[Retrieved Data]167 (5/13/2024 9:20:54 PM)	3	30.97	------		71.81	-2.09	17.59	-22.03	-3.30	21.25	30.79
   168 	[Retrieved Data]168 (5/13/2024 9:20:54 PM)	3	30.07	------		74.65	-0.20	17.77	-20.73	-1.62	21.11	29.63
   168 	[Retrieved Data]168 (5/13/2024 9:20:54 PM)	3	31.17	------		72.46	-0.11	18.22	-21.38	-1.32	21.89	30.63
   169 	[Retrieved Data]169 (5/13/2024 9:20:54 PM)	3	30.06	------		77.50	1.84	18.65	-17.88	0.42	22.00	28.35
   169 	[Retrieved Data]169 (5/13/2024 9:20:54 PM)	3	31.07	------		75.45	2.00	19.05	-18.39	0.78	22.72	29.24
   170 	[Retrieved Data]170 (5/13/2024 9:20:54 PM)	3	32.78	------		79.30	-1.47	21.36	-16.08	-2.89	24.70	29.61
   170 	[Retrieved Data]170 (5/13/2024 9:20:54 PM)	3	33.78	------		77.33	-1.43	21.84	-16.52	-2.65	25.50	30.50
   171 	[Retrieved Data]171 (5/13/2024 9:20:54 PM)	3	33.27	------		75.09	2.31	20.99	-20.29	0.89	24.34	31.69
   171 	[Retrieved Data]171 (5/13/2024 9:20:54 PM)	3	34.57	------		72.92	2.51	21.65	-20.92	1.30	25.32	32.87
   172 	[Retrieved Data]172 (5/13/2024 9:20:54 PM)	3	34.46	------		76.77	-0.60	22.42	-18.60	-2.01	25.76	31.84
   172 	[Retrieved Data]172 (5/13/2024 9:20:54 PM)	3	35.69	------		74.70	-0.54	23.09	-19.14	-1.76	26.76	32.94
   173 	[Retrieved Data]173 (5/13/2024 9:20:54 PM)	3	34.69	------		79.71	1.44	23.35	-15.66	0.02	26.70	30.95
   173 	[Retrieved Data]173 (5/13/2024 9:20:54 PM)	3	35.77	------		77.76	1.57	23.90	-16.08	0.35	27.57	31.92
   174 	[Retrieved Data]174 (5/13/2024 9:20:54 PM)	3	38.68	------		67.94	4.99	23.84	-27.43	3.57	27.19	38.79
   174 	[Retrieved Data]174 (5/13/2024 9:20:54 PM)	3	40.79	------		65.38	5.37	25.15	-28.46	4.15	28.82	40.71
   175 	[Retrieved Data]175 (5/13/2024 9:20:54 PM)	3	28.86	------		76.64	-1.54	17.04	-18.74	-2.96	20.39	27.85
   175 	[Retrieved Data]175 (5/13/2024 9:20:54 PM)	3	29.81	------		74.54	-1.53	17.40	-19.30	-2.74	21.07	28.70
   176 	[Retrieved Data]176 (5/13/2024 9:20:54 PM)	3	29.79	------		77.10	0.15	18.24	-18.28	-1.27	21.59	28.31
   176 	[Retrieved Data]176 (5/13/2024 9:20:54 PM)	3	30.78	------		75.05	0.25	18.64	-18.80	-0.96	22.31	29.19
   177 	[Retrieved Data]177 (5/13/2024 9:20:54 PM)	3	30.60	------		80.21	1.86	19.78	-15.17	0.44	23.12	27.66
   177 	[Retrieved Data]177 (5/13/2024 9:20:54 PM)	3	31.50	------		78.29	2.00	20.13	-15.55	0.79	23.80	28.44
   178 	[Retrieved Data]178 (5/13/2024 9:20:54 PM)	3	32.37	------		74.39	0.23	19.92	-20.99	-1.19	23.26	31.35
   178 	[Retrieved Data]178 (5/13/2024 9:20:54 PM)	3	33.60	------		72.34	0.35	20.55	-21.51	-0.86	24.22	32.40
   179 	[Retrieved Data]179 (5/13/2024 9:20:54 PM)	3	33.57	------		77.70	2.25	21.91	-17.68	0.83	25.26	30.84
   179 	[Retrieved Data]179 (5/13/2024 9:20:54 PM)	3	34.75	------		75.66	2.43	22.50	-18.19	1.21	26.17	31.89
   180 	[Retrieved Data]180 (5/13/2024 9:20:54 PM)	3	34.30	------		79.39	-0.95	22.80	-15.99	-2.37	26.15	30.74
   180 	[Retrieved Data]180 (5/13/2024 9:20:54 PM)	3	35.36	------		77.43	-0.90	23.36	-16.42	-2.12	27.02	31.69
   181 	[Retrieved Data]181 (5/13/2024 9:20:54 PM)	3	35.01	------		74.97	3.08	22.55	-20.41	1.66	25.89	33.01
   181 	[Retrieved Data]181 (5/13/2024 9:20:54 PM)	3	36.38	------		72.79	3.31	23.28	-21.05	2.09	26.94	34.26
   182 	[Retrieved Data]182 (5/13/2024 9:20:54 PM)	3	49.38	------		23.81	2.18	0.34	-71.57	0.76	3.68	71.67
   182 	[Retrieved Data]182 (5/13/2024 9:20:54 PM)	3	61.28	------		5.15	1.78	-4.06	-88.69	0.56	-0.39	88.70
   183 	[Retrieved Data]183 (5/13/2024 9:20:54 PM)	3	68.28	------		39.76	-37.94	22.23	-55.62	-39.36	25.57	72.78
   183 	[Retrieved Data]183 (5/13/2024 9:20:54 PM)	3	88.67	------		33.00	-53.85	32.65	-60.84	-55.07	36.32	89.74
   184 	[Retrieved Data]184 (5/13/2024 9:20:54 PM)	3	29.47	------		79.72	-0.00	18.58	-15.66	-1.42	21.93	26.98
   184 	[Retrieved Data]184 (5/13/2024 9:20:54 PM)	3	30.33	------		77.78	0.07	18.90	-16.07	-1.15	22.56	27.72
   185 	[Retrieved Data]185 (5/13/2024 9:20:54 PM)	3	31.71	------		74.33	-1.53	19.09	-21.05	-2.95	22.43	30.90
   185 	[Retrieved Data]185 (5/13/2024 9:20:54 PM)	3	32.90	------		72.12	-1.50	19.66	-21.73	-2.72	23.32	31.99
   186 	[Retrieved Data]186 (5/13/2024 9:20:54 PM)	3	32.50	------		77.18	0.46	20.79	-18.20	-0.96	24.14	30.24
   186 	[Retrieved Data]186 (5/13/2024 9:20:54 PM)	3	33.63	------		75.12	0.57	21.34	-18.72	-0.65	25.00	31.24
   187 	[Retrieved Data]187 (5/13/2024 9:20:54 PM)	3	32.39	------		79.99	2.43	21.34	-15.38	1.01	24.68	29.10
   187 	[Retrieved Data]187 (5/13/2024 9:20:54 PM)	3	33.41	------		78.07	2.61	21.80	-15.78	1.39	25.47	29.99
   188 	[Retrieved Data]188 (5/13/2024 9:20:54 PM)	3	33.97	------		74.78	1.22	21.57	-20.60	-0.19	24.91	32.33
   188 	[Retrieved Data]188 (5/13/2024 9:20:54 PM)	3	35.26	------		72.63	1.39	22.24	-21.21	0.17	25.91	33.49
   189 	[Retrieved Data]189 (5/13/2024 9:20:54 PM)	3	35.19	------		77.68	3.27	23.35	-17.70	1.85	26.69	32.08
   189 	[Retrieved Data]189 (5/13/2024 9:20:54 PM)	3	36.43	------		75.65	3.48	24.00	-18.19	2.26	27.66	33.19
   190 	[Retrieved Data]190 (5/13/2024 9:20:54 PM)	3	70.03	------		30.00	24.17	-43.53	-65.38	22.75	-40.18	80.04
   190 	[Retrieved Data]190 (5/13/2024 9:20:54 PM)	3	89.20	------		18.96	36.79	-56.11	-74.89	35.57	-52.44	98.10
   191 	[Retrieved Data]191 (5/13/2024 9:20:54 PM)	3	5.14	------		99.41	-0.10	0.01	4.03	-1.52	3.35	5.45
   191 	[Retrieved Data]191 (5/13/2024 9:20:54 PM)	3	5.30	------		97.32	-0.09	0.14	3.47	-1.31	3.80	5.31
   192 	[Retrieved Data]192 (5/13/2024 9:20:54 PM)	3	5.13	------		99.41	-0.10	-0.00	4.03	-1.52	3.34	5.46
   192 	[Retrieved Data]192 (5/13/2024 9:20:54 PM)	3	5.30	------		97.32	-0.09	0.14	3.48	-1.31	3.80	5.32
   193 	[Retrieved Data]193 (5/13/2024 9:20:54 PM)	3	5.13	------		99.41	-0.10	-0.00	4.03	-1.52	3.34	5.45
